kpi,b1,b2
average demand decrease,0.0654148426826009,-0.0006102048105153538
average demand decrease intensity,0.0013628092225541,-3.178150054767468e-06
average demand decrease index,-13.63708675132085,
average demand increase,-0.0014186787397134,0.00043118556848595097
average demand increase intensity,-2.955580707736334e-05,2.2457581691976614e-06
average demand increase index,-0.0091105398099271,
average power rebound,0.097604574881969,-0.0012557546864314408
average power rebound index,-0.1253863476311681,-0.000471445369166934
flexibility savings index,-4.542630408716675,-0.010048927466099755
energy savings of demand response,-9.527136220579044,-0.13531175437460893
net building consumption change percentage,5.478162847611395,0.020508662668158224
peak power reduction,-1.9278954274831743,6.887783232656375e-07
tdis_tot,0.3800361236835229,0.5986925694780776
