time,con_oveTSetHea_u,con_oveTSetCoo_u,zon_reaTRooAir_y
28857600,288.15,303.15,295.0539080658526
28857630,288.15,303.15,295.04738996662695
28857660,288.15,303.15,295.04087088191216
28857690,288.15,303.15,295.0343510460487
28857720,288.15,303.15,295.027830048892
28857750,288.15,303.15,295.0213077206531
28857780,288.15,303.15,295.01478389806425
28857810,288.15,303.15,295.00825848372193
28857840,288.15,303.15,295.0017314050202
28857870,288.15,303.15,294.9952026064449
28857900,288.15,303.15,294.98867204899386
28857930,288.15,303.15,294.98213970799424
28857960,288.15,303.15,294.97560557098217
28857990,288.15,303.15,294.9690696360197
28858020,288.15,303.15,294.96253191035646
28858050,288.15,303.15,294.95599240929687
28858080,288.15,303.15,294.9494511551946
28858110,288.15,303.15,294.94290817653854
28858140,288.15,303.15,294.93636350712626
28858170,288.15,303.15,294.9298171853185
28858200,288.15,303.15,294.923269253368
28858230,288.15,303.15,294.91671975681874
28858260,288.15,303.15,294.9101687439681
28858290,288.15,303.15,294.9036162653863
28858320,288.15,303.15,294.8970623734874
28858350,288.15,303.15,294.8905071221477
28858380,288.15,303.15,294.88395056636585
28858410,288.15,303.15,294.87739276196254
28858440,288.15,303.15,294.8708337653144
28858470,288.15,303.15,294.86427363311975
28858500,288.15,303.15,294.8577124221932
28858530,288.15,303.15,294.85115018928514
28858560,288.15,303.15,294.84458699092545
28858590,288.15,303.15,294.8380228832874
28858620,288.15,303.15,294.83145792207057
28858650,288.15,303.15,294.82489216240043
28858680,288.15,303.15,294.8183256587433
28858710,288.15,303.15,294.8117584648346
28858740,288.15,303.15,294.80519063361936
28858770,288.15,303.15,294.79862221720333
28858800,288.15,303.15,294.79205326681347
28858830,288.15,303.15,294.7854838327674
28858860,288.15,303.15,294.7789139644503
28858890,288.15,303.15,294.77234371029795
28858920,288.15,303.15,294.76577311778624
28858950,288.15,303.15,294.75920223342564
28858980,288.15,303.15,294.75263110276063
28859010,288.15,303.15,294.74605977037123
28859040,288.15,303.15,294.73948827988
28859070,288.15,303.15,294.73291667396154
28859100,288.15,303.15,294.72634499435446
28859130,288.15,303.15,294.71977328187495
28859160,288.15,303.15,294.71320157661006
28859190,288.15,303.15,294.706629917416
28859220,288.15,303.15,294.7000583437206
28859250,288.15,303.15,294.6934868937197
28859280,288.15,303.15,294.6869155987265
28859310,288.15,303.15,294.68034449588055
28859340,288.15,303.15,294.67377362367057
28859370,288.15,303.15,294.66720301366104
28859400,288.15,303.15,294.6606326985357
28859430,288.15,303.15,294.654062711975
28859460,288.15,303.15,294.64749308600574
28859490,288.15,303.15,294.64092385687786
28859520,288.15,303.15,294.6343550525487
28859550,288.15,303.15,294.62778670088227
28859580,288.15,303.15,294.62121883066465
28859610,288.15,303.15,294.6146514706231
28859640,288.15,303.15,294.60808464909275
28859670,288.15,303.15,294.6015183939102
28859700,288.15,303.15,294.5949527323864
28859730,288.15,303.15,294.58838769130625
28859760,288.15,303.15,294.58182329693796
28859790,288.15,303.15,294.5752595750436
28859820,288.15,303.15,294.568696550891
28859850,288.15,303.15,294.56213424926364
28859880,288.15,303.15,294.55557269447087
28859910,288.15,303.15,294.5490119103562
28859940,288.15,303.15,294.542451920305
28859970,288.15,303.15,294.5358927472508
28860000,288.15,303.15,294.52933441368106
