time,fcu_reaPFan_y,fcu_reaPHea_y,fcu_reaPCoo_y
28857600,2.5126970132325826e-20,0.0,2.9531122777043787e-08
28857630,3.030564952808128e-22,0.0,3.251221676798853e-09
28857660,3.6490562450567075e-24,0.0,3.576388830006215e-10
28857690,5.053924577466761e-26,1.4064110050280893e-10,0.0
28857720,2.214838569471765e-27,2.951392000304825e-11,0.0
28857750,1.3317574641068772e-28,0.0,2.176405913443797e-12
28857780,1.8371159712071738e-27,2.7009439108230788e-11,0.0
28857810,5.038753230371707e-28,1.4178816143488702e-11,0.0
28857840,7.075101306519617e-33,0.0,1.597666503084894e-14
28857870,3.9439879293893696e-30,0.0,3.780904564473578e-13
28857900,2.8180963907679496e-32,1.0677751575814632e-13,0.0
28857930,1.2199763727491563e-31,2.2266862651375126e-13,0.0
28857960,1.7868263418905793e-34,8.540657233437367e-15,0.0
28857990,1.870705440072497e-33,0.0,8.308553849007326e-15
28858020,1.1150428454762853e-35,0.0,6.428411339153472e-16
28858050,3.594993388611211e-35,3.8557055681297564e-15,0.0
28858080,7.41071296280969e-37,5.547346942369863e-16,0.0
28858110,5.787465553369472e-37,0.0,1.4736792230029508e-16
28858140,2.499808158062942e-38,0.0,3.068847082357259e-17
28858170,9.308955129192917e-39,6.254529530363749e-17,0.0
28858200,7.517462156596817e-40,1.780750611780912e-17,0.0
28858230,1.3603355903670478e-40,0.0,2.2767443309868818e-18
28858260,1.9490931601131635e-41,0.0,8.633535838855614e-19
28858290,1.845419969318809e-42,8.870703450357767e-19,0.0
28858320,4.679818574243622e-43,4.474679436109282e-19,0.0
28858350,2.1998898601110097e-44,0.0,2.9153003274151945e-20
28858380,1.0468745559672351e-44,0.0,2.0142856705624795e-20
28858410,2.164108209316384e-46,9.66850251387195e-21,0.0
28858440,2.2181702968805026e-46,9.803030469676785e-21,0.0
28858470,1.4342781526985867e-48,0.0,2.3682067020091073e-22
28858500,4.47324412354627e-48,0.0,4.1880145595843113e-22
28858530,2.3271572772604826e-51,3.1882866099343103e-23,0.0
28858560,8.626358639018022e-50,1.943576708520283e-22,0.0
28858590,8.957356473096688e-53,6.270405121709186e-24,0.0
28858620,1.5928830557935682e-51,0.0,7.94164819723866e-24
28858650,1.2100984300314285e-53,0.0,6.929383579934351e-25
28858680,2.8160359182439627e-53,3.527127876505391e-24,0.0
28858710,5.879507202299599e-55,5.101348943889391e-25,0.0
28858740,4.755042370660262e-55,0.0,1.3775222762497632e-25
28858770,2.039759443449988e-56,0.0,2.85541676554964e-26
28858800,7.631851306002947e-57,5.826465019139456e-26,0.0
28858830,5.9392555912779155e-58,1.6265233637857105e-26,0.0
28858860,1.1543526072728876e-58,0.0,2.1525907310317823e-27
28858890,1.5476859229101445e-59,0.0,7.886471970544739e-28
28858920,1.6215048170367004e-60,8.513354306491206e-28,0.0
28858950,3.7265984393620555e-61,4.083115560854559e-28,0.0
28858980,2.0608615243749785e-62,0.0,2.881688629543678e-29
28859010,8.44196969750218e-63,0.0,1.844942143922037e-29
28859040,2.2520446533945087e-64,1.0047047875661647e-29,0.0
28859070,1.818902840188924e-64,9.031029081808942e-30,0.0
28859100,1.8773324238296012e-66,0.0,2.752827507867065e-31
28859130,3.752781494017601e-66,0.0,3.8923498905933786e-31
28859160,6.551360501610128e-68,1.7142680793438318e-31,0.0
28859190,3.8714900942757553e-69,0.0,1.250099443602054e-32
28859220,3.730841164256265e-70,1.2933948956757575e-32,0.0
28859250,1.1408687043777867e-72,7.150912969281711e-34,0.0
28859280,1.3376995298162023e-71,0.0,7.343997699446779e-34
28859310,7.229660660580382e-71,5.68920794724087e-33,0.0
28859340,3.618937942542898e-75,0.0,1.2070859363250202e-35
28859370,1.960838143610203e-78,0.0,2.8085022653383553e-37
28859400,1.0722764940693382e-79,0.0,6.564270644765948e-38
28859430,1.8886791426569756e-81,0.0,8.706917098673215e-39
28859460,3.9799828082426253e-81,4.210465408842298e-38,0.0
28859490,7.396987819074837e-80,0.0,5.441731184171404e-38
28859520,3.243132866137163e-81,0.0,1.1385824275919867e-38
28859550,5.285334087587678e-84,1.5308876990003592e-39,0.0
28859580,1.0716639888942968e-83,2.1779940219392327e-39,0.0
28859610,2.7411347147479856e-85,3.4800623513997696e-40,0.0
28859640,3.65223614158371e-87,0.0,1.2039028428164754e-41
28859670,1.40149284740482e-87,0.0,7.44991105856047e-42
28859700,1.732269326633485e-89,0.0,8.273360553293046e-43
28859730,1.1143737733080806e-90,6.986541990638683e-43,0.0
28859760,1.6232735454740884e-91,2.6632507974957343e-43,0.0
28859790,5.245319261450444e-94,1.51198467212931e-44,0.0
28859820,2.45249192435752e-94,0.0,3.0974752136395005e-45
28859850,1.592156223825538e-95,0.0,7.881243296557852e-46
28859880,3.276256070752498e-99,3.763086759400735e-47,0.0
28859910,4.4024115907721625e-98,1.3773759124531827e-46,0.0
28859940,1.1843943786611789e-99,2.2557176037594545e-47,0.0
28859970,2.1233129380705788e-101,0.0,9.046324162392369e-49
28860000,6.691585847944781e-102,0.0,5.070085986603599e-49
28860030,4.595758139012339e-104,0.0,4.1946310969978674e-50
28860060,9.914535376026807e-105,6.482964917930824e-50,0.0
