time,con_oveTSetHea_u,con_oveTSetCoo_u,zon_reaTRooAir_y
1209600,288.15,303.15,288.2612014749317
1209630,288.15,303.15,288.256580070529
1209660,288.15,303.15,288.25195984486675
1209690,288.15,303.15,288.2473408240738
1209720,288.15,303.15,288.2427230940856
1209750,288.15,303.15,288.23810676250486
1209780,288.15,303.15,288.23349187276057
1209810,288.15,303.15,288.2288784596013
1209840,288.15,303.15,288.22426655197603
1209870,288.15,303.15,288.21965617802175
1209900,288.15,303.15,288.2150473659884
1209930,288.15,303.15,288.21044014460244
1209960,288.15,303.15,288.2058345430058
1209990,288.15,303.15,288.2012305905934
1210020,288.15,303.15,288.196628316819
1210050,288.15,303.15,288.19202775100786
1210080,288.15,303.15,288.18742892218773
1210110,288.15,303.15,288.182831858941
1210140,288.15,303.15,288.1782365892778
1210170,288.15,303.15,288.17364314052867
1210200,288.15,303.15,288.1690515386752
1210230,288.15,303.15,288.16446180824227
1210260,288.15,303.15,288.1598739756152
1210290,288.15,303.15,288.1552880649364
1210320,288.15,303.15,288.1507053452628
1210350,288.15,303.15,288.14626339359586
1210380,288.15,303.15,288.1421214336021
1210410,288.15,303.15,288.1383095393814
1210440,288.15,303.15,288.1348466634075
1210470,288.15,303.15,288.13174448811384
1210500,288.15,303.15,288.12900809281
1210530,288.15,303.15,288.12663659171943
1210560,288.15,303.15,288.12462386199905
1210590,288.15,303.15,288.12295923137225
1210620,288.15,303.15,288.12162810449917
1210650,288.15,303.15,288.12061257394447
1210680,288.15,303.15,288.1198921253074
1210710,288.15,303.15,288.1194442791212
1210740,288.15,303.15,288.1192451119187
1210770,288.15,303.15,288.119269739838
1210800,288.15,303.15,288.1194927943625
1210830,288.15,303.15,288.11988890963437
1210860,288.15,303.15,288.1204331366716
1210890,288.15,303.15,288.121101308719
1210920,288.15,303.15,288.1218704076105
1210950,288.15,303.15,288.12271900916545
1210980,288.15,303.15,288.1236272986311
1211010,288.15,303.15,288.1245716798645
1211040,288.15,303.15,288.1255258664891
1211070,288.15,303.15,288.1264703875291
1211100,288.15,303.15,288.12739098392086
1211130,288.15,303.15,288.12827510738435
1211160,288.15,303.15,288.1291122997234
1211190,288.15,303.15,288.1298950360609
1211220,288.15,303.15,288.13061793595216
1211250,288.15,303.15,288.131277210913
1211280,288.15,303.15,288.1318706748673
1211310,288.15,303.15,288.1323976871503
1211340,288.15,303.15,288.13285895782667
1211370,288.15,303.15,288.1332562695992
1211400,288.15,303.15,288.13359225444776
1211430,288.15,303.15,288.13387025173637
1211460,288.15,303.15,288.13409418502437
1211490,288.15,303.15,288.13426841829687
1211520,288.15,303.15,288.1343976035135
1211550,288.15,303.15,288.13448655191905
1211580,288.15,303.15,288.1345401318284
1211610,288.15,303.15,288.1345631815757
1211640,288.15,303.15,288.1345604293329
1211670,288.15,303.15,288.1345364219274
1211700,288.15,303.15,288.13449546769164
1211730,288.15,303.15,288.1344415934623
1211760,288.15,303.15,288.13437851283464
1211790,288.15,303.15,288.13430960277793
1211820,288.15,303.15,288.1342378889051
1211850,288.15,303.15,288.13416603847213
