time,winDir,TDewPoi,InternalGainsRad[1],PriceElectricPowerConstant,UpperSetp[1],PriceElectricPowerHighlyDynamic,solTim,solHouAng,PriceGasPower,nOpa,LowerSetp[1],nTot,HGloHor,winSpe,HDirNor,solDec,lon,PriceElectricPowerDynamic,HDifHor,InternalGainsCon[1],solZen,relHum,pAtm,Occupancy[1],EmissionsGasPower,ceiHei,HHorIR,lat,InternalGainsLat[1],TWetBul,TDryBul,TBlaSky,EmissionsElectricPower,cloTim,solAlt,UpperCO2[1]
1209600,6.283185307,265.95,46.464,0.05461,303.15,0.0130874,1209076.395,84.78492405,0.002878,1,288.15,1,0,6.7,0,-0.373108807,-1.830152254,0.0444,0,36.096,2.819117213,0.91,101325,0,0.18108,2700,255,0.693942911,0,266.6800674,267.05,258.9912108,0.6618,1209600,-1.248320886,1500
1213200,0.401425728,265.35,46.464,0.05461,303.15,0.0110689,1212675.52,85.04665977,0.002878,1,288.15,1,0,5.7,0,-0.372985808,-1.830152254,0.0444,0,36.096,2.768222447,0.86,101325,0,0.18108,2700,255,0.693942911,0,266.4732302,267.05,258.8453418,0.6618,1213200,-1.19742612,1500
1216800,5.497787144,264.85,46.464,0.05461,303.15,0.0124764,1216274.645,85.30839556,0.002878,1,288.15,1,0,4.6,0,-0.372862615,-1.830152254,0.0444,0,36.096,2.618345614,0.83,101325,0,0.18108,3000,254,0.693942911,0,266.3486744,267.05,258.7233429,0.6618,1216800,-1.047549287,1500
1220400,5.899212872,264.25,46.464,0.05461,303.15,0.0100356,1219873.772,85.57013142,0.002878,1,288.15,1,0,3.1,0,-0.372739226,-1.830152254,0.0444,0,36.096,2.431281302,0.83,101325,0,0.18108,2100,251,0.693942911,0,265.7718339,266.45,257.9954492,0.6618,1220400,-0.860484975,1500
1224000,5.899212872,264.25,46.464,0.05461,303.15,0.0123324,1223472.899,85.83186735,0.002878,0.6,288.15,0.6,0,4.1,0,-0.372615642,-1.830152254,0.0444,0,36.096,2.232328881,0.86,101325,0,0.18108,2400,231,0.693942911,0,265.4078049,265.95,252.6254505,0.6618,1224000,-0.661532554,1500
1227600,5.113814708,261.45,46.464,0.05461,303.15,0.01284,1227072.028,86.09360335,0.002878,0.4,288.15,0.6,0,3.1,0,-0.372491864,-1.830152254,0.0444,0,36.096,2.031405866,0.78,101325,0,0.18108,3000,219,0.693942911,0,263.4760178,264.25,249.3147166,0.6618,1227600,-0.46060954,1500
1231200,3.926990817,260.95,46.464,0.05461,303.15,0.0102104,1230671.157,86.35533943,0.002878,0.3,288.15,0.3,0,2.1,0,-0.372367891,-1.830152254,0.0444,0,36.096,1.834048659,0.87,101325,0,0.18108,77777,211,0.693942911,0,262.138689,262.55,247.1028612,0.6618,1231200,-0.263252332,1500
1234800,3.141592654,260.95,46.464,0.05461,303.15,0.0091175,1234270.288,86.61707558,0.002878,0.6,288.15,0.6,0.609375,2.1,67.09851301,-0.372243723,-1.830152254,0.0444,12.90441176,36.096,1.644920971,0.87,101325,0,0.18108,30500,217,0.693942911,0,262.138689,262.55,248.6061528,0.6618,1234800,-0.074124644,1500
1238400,3.543018382,257.55,552.24,0.05461,297.15,0.0122713,1237869.419,86.8788118,0.002878,0.1,294.15,0.1,115.731606,2.1,471.2718574,-0.37211936,-1.830152254,0.0444,82.6372549,419.360016,1.469296204,0.77,101325,2,0.18108,77777,197,0.693942911,90,259.7154176,260.35,242.7905125,0.6618,1238400,0.101500123,894
1242000,3.543018382,260.35,552.24,0.05461,297.15,0.0141662,1241468.551,87.1405481,0.002878,0.1,294.15,0.1,269.6373844,3.1,816.1534232,-0.371994804,-1.830152254,0.05413,126.3039216,419.360016,1.31400018,0.74,101325,2,0.18108,77777,210,0.693942911,90,262.86113,263.75,246.6429007,0.6618,1242000,0.256796147,894
1245600,3.543018382,262.55,552.24,0.05461,297.15,0.0103845,1245067.685,87.40228447,0.002878,0,292.15,0,409.0688285,3.1,922.0474874,-0.371870052,-1.830152254,0.05413,111.7794118,419.360016,1.187997036,0.67,101325,2,0.18108,77777,218,0.693942911,90,265.6786123,267.05,249.0762391,0.6618,1245600,0.382799291,894
1249200,3.141592654,259.85,552.24,0.05461,297.15,0.0112349,1248666.819,87.66402091,0.002878,0,292.15,0,492.1267192,3.1,962.5459065,-0.371745107,-1.830152254,0.05413,88.5,419.360016,1.102023583,0.46,101325,2,0.18108,77777,221,0.693942911,90,266.2581829,268.75,250.0052769,0.6618,1249200,0.468772744,894
1252800,3.141592654,262.05,552.24,0.05461,297.15,0.0103182,1252265.955,87.92575742,0.002878,0,292.15,0,524.9770304,3.6,969.4354441,-0.371619967,-1.830152254,0.05413,63.5,419.360016,1.066179984,0.53,101325,2,0.18108,77777,225,0.693942911,90,267.0298091,269.25,251.0072603,0.6618,1252800,0.504616342,894
1256400,3.141592654,260.35,552.24,0.05461,297.15,0.0169482,1255865.091,88.187494,0.002878,0,292.15,0,496.8490566,3.6,963.1259399,-0.371494633,-1.830152254,0.05413,32.67307692,419.360016,1.085578859,0.46,101325,2,0.18108,77777,224,0.693942911,90,266.6892683,269.25,250.593118,0.6618,1256400,0.485217467,894
1260000,2.35619449,260.95,552.24,0.05461,297.15,0.0160416,1259464.228,88.44923066,0.002878,0,292.15,0,409.9125,3.1,926.692682,-0.371369105,-1.830152254,0.0888,3.841923077,419.360016,1.157377797,0.48,101325,2,0.18108,77777,224,0.693942911,90,266.7868299,269.25,250.7398285,0.6618,1260000,0.413418529,894
1263600,1.972222055,260.95,552.24,0.05461,297.15,0.0168868,1263063.367,88.71096739,0.002878,0,292.15,0,274.4883065,4.6,826.9772709,-0.371243383,-1.830152254,0.0888,0,419.360016,1.272490892,0.53,101325,2,0.18108,77777,220,0.693942911,90,266.0592853,268.15,249.7154503,0.6618,1263600,0.298305434,894
1267200,1.570796327,262.05,552.24,0.05461,297.15,0.0197283,1266662.506,88.9727042,0.002878,0,292.15,0.2,118.2166935,4.6,509.6530001,-0.371117468,-1.830152254,0.0888,1.194444444,419.360016,1.420001743,0.64,101325,2,0.18108,77777,218,0.693942911,90,265.5518915,267.05,248.9563189,0.6618,1267200,0.150794584,894
1270800,1.972222055,258.75,552.24,0.05461,297.15,0.0289225,1270261.647,89.23444108,0.002878,0,292.15,0.2,3.3825,4.6,86.99847561,-0.370991358,-1.830152254,0.0888,1,419.360016,1.590298098,0.53,101325,2,0.18108,77777,211,0.693942911,90,264.1047889,265.95,247.1324514,0.6618,1270800,-0.019501771,894
1274400,2.35619449,259.25,552.24,0.05461,297.15,0.0282474,1273860.788,89.49617803,0.002878,0,292.15,0,0,4.1,0,-0.370865055,-1.830152254,0.05413,0,419.360016,1.775940097,0.61,101325,2,0.18108,77777,208,0.693942911,90,263.4192721,264.85,246.2318995,0.6618,1274400,-0.20514377,894
1278000,3.141592654,256.45,46.464,0.05461,303.15,0.0303036,1277459.93,89.75791505,0.002878,0,288.15,0,0,4.1,0,-0.370738558,-1.830152254,0.05413,0,36.096,1.971261378,0.51,101325,0,0.18108,77777,203,0.693942911,0,262.0618777,263.75,244.525622,0.6618,1278000,-0.400465051,1500
1281600,3.141592654,255.95,46.464,0.05461,303.15,0.0299996,1281059.074,90.01965215,0.002878,0,288.15,0.1,0,6.2,0,-0.370611868,-1.830152254,0.05413,0,36.096,2.171510937,0.63,101325,0,0.18108,77777,194,0.693942911,0,259.884962,260.95,241.8075542,0.6618,1281600,-0.60071461,1500
1285200,3.141592654,256.45,46.464,0.05461,303.15,0.0283966,1284658.218,90.28138932,0.002878,0,288.15,-1.73E-18,0,7.2,0,-0.370484985,-1.830152254,0.0444,0,36.096,2.371593142,0.63,101325,0,0.18108,77777,196,0.693942911,0,260.3501506,261.45,242.3932659,0.6618,1285200,-0.800796815,1500
1288800,3.141592654,257.05,46.464,0.05461,303.15,0.0260309,1288257.364,90.54312657,0.002878,0,288.15,0.1,0,5.7,0,-0.370357908,-1.830152254,0.0444,0,36.096,2.563443459,0.63,101325,0,0.18108,77777,198,0.693942911,0,260.9073898,262.05,243.0961785,0.6618,1288800,-0.992647132,1500
1292400,3.141592654,256.45,46.464,0.05461,303.15,0.0240698,1291856.51,90.80486389,0.002878,0,288.15,0,0,6.7,0,-0.370230638,-1.830152254,0.0444,0,36.096,2.728223094,0.6,101325,0,0.18108,77777,198,0.693942911,0,260.8136986,262.05,242.9495327,0.6618,1292400,-1.157426768,1500
1296000,3.141592654,257.55,46.464,0.05461,303.15,0.0194115,1295455.658,91.06660128,0.002878,0,288.15,0,0,7.2,0,-0.370103175,-1.830152254,0.0444,0,36.096,2.815993111,0.63,101325,0,0.18108,77777,200,0.693942911,0,261.3709335,262.55,243.6819881,0.6618,1296000,-1.245196784,1500
