time,con_oveTSetHea_u,con_oveTSetCoo_u,zon_reaTRooAir_y
1209600,288.15,303.15,288.2612014749317
1209630,288.15,303.15,288.256580070529
1209660,288.15,303.15,288.25195984486675
1209690,288.15,303.15,288.2473408240737
1209720,288.15,303.15,288.24272309408553
1209750,288.15,303.15,288.2381067625048
1209780,288.15,303.15,288.23349187276045
1209810,288.15,303.15,288.22887845960116
1209840,288.15,303.15,288.2242665519759
1209870,288.15,303.15,288.21965617802164
1209900,288.15,303.15,288.2150473659883
1209930,288.15,303.15,288.21044014460233
1209960,288.15,303.15,288.2058345430056
1209990,288.15,303.15,288.20123059059324
1210020,288.15,303.15,288.1966283168189
1210050,288.15,303.15,288.19202775100774
1210080,288.15,303.15,288.1874289221876
1210110,288.15,303.15,288.18283185894086
1210140,288.15,303.15,288.1782365892776
1210170,288.15,303.15,288.1736431405285
1210200,288.15,303.15,288.16905153867503
1210230,288.15,303.15,288.1644618082421
1210260,288.15,303.15,288.159873975615
1210290,288.15,303.15,288.15528806493626
1210320,288.15,303.15,288.1507053452628
1210350,288.15,303.15,288.1462633935958
1210380,288.15,303.15,288.142121433602
1210410,288.15,303.15,288.1383095393813
1210440,288.15,303.15,288.1348466634074
1210470,288.15,303.15,288.1317444881138
1210500,288.15,303.15,288.12900808930254
1210530,288.15,303.15,288.12663666789985
1210560,288.15,303.15,288.1246238022612
1210590,288.15,303.15,288.12295891605595
1210620,288.15,303.15,288.1216274930558
1210650,288.15,303.15,288.12061179484203
1210680,288.15,303.15,288.1198913177282
1210710,288.15,303.15,288.11944356924886
1210740,288.15,303.15,288.11924455455784
1210770,288.15,303.15,288.1192693895043
1210800,288.15,303.15,288.11949266097315
1210830,288.15,303.15,288.11988898420657
1210860,288.15,303.15,288.1204334158189
1210890,288.15,303.15,288.1211017846371
1210920,288.15,303.15,288.1218710386984
1210950,288.15,303.15,288.1227197668944
1210980,288.15,303.15,288.12362821152647
1211010,288.15,303.15,288.1245724302031
1211040,288.15,303.15,288.12552673722485
1211070,288.15,303.15,288.12647161436115
1211100,288.15,303.15,288.1273921577261
1211130,288.15,303.15,288.1282760225762
1211160,288.15,303.15,288.1291131825566
1211190,288.15,303.15,288.12989592331144
1211220,288.15,303.15,288.1306186564765
1211250,288.15,303.15,288.13127768186996
1211280,288.15,303.15,288.1318709503731
1211310,288.15,303.15,288.1323978577388
1211340,288.15,303.15,288.13285906208296
1211370,288.15,303.15,288.13325630225404
1211400,288.15,303.15,288.13359221997405
1211430,288.15,303.15,288.13386811262137
1211460,288.15,303.15,288.1340923607619
1211490,288.15,303.15,288.13426729495603
1211520,288.15,303.15,288.13439730887615
1211550,288.15,303.15,288.13448699180356
1211580,288.15,303.15,288.1345409717357
1211610,288.15,303.15,288.1345641646775
1211640,288.15,303.15,288.13456141823906
1211670,288.15,303.15,288.13453734800805
1211700,288.15,303.15,288.13449629204797
1211730,288.15,303.15,288.13444229025697
1211760,288.15,303.15,288.1343790641658
1211790,288.15,303.15,288.13430999774204
1211820,288.15,303.15,288.134238123369
