time,reaQFloHea_y,reaQHeaPumCon_y,reaQHeaPumEva_y
1382400,7445.464652900132,7386.771485507761,-5001.493945256057
1382430,7438.065467912629,7378.794371178062,-4995.425778428292
1382460,7430.662762659859,7370.820017625901,-4989.358308132656
1382490,7423.258557389466,7362.84831867531,-4983.29184772219
1382520,7415.854006515413,7354.882468382971,-4977.229038833884
1382550,7408.450972575304,7346.924480679028,-4971.171645266841
1382580,7401.05127736669,7338.975570737998,-4965.120764361628
1382610,7393.6564071531,7331.036404282672,-4959.07701245412
1382640,7386.267446068032,7323.107288647702,-4953.040685613683
1382670,7378.8851136699905,7315.188311605297,-4947.0118823572675
1382700,7371.509839603828,7307.27943436017,-4940.990587129564
1382730,7364.141841553577,7299.38054968183,-4934.976722499708
1382760,7356.781191896311,7291.491516245665,-4928.970180444723
1382790,7349.427868919868,7283.61217803474,-4922.9708392875355
1382820,7342.081793497907,7275.7423749269055,-4916.978573030149
1382850,7334.742854002563,7267.881948264884,-4910.9932567115875
1382880,7327.410922525649,7260.030743739341,-4905.014768136264
1382910,7320.085865066128,7252.188612862644,-4899.042990120859
1382940,7312.767547718764,7244.355413725694,-4893.077810148642
1382970,7305.45584031453,7236.5310114021795,-4887.119120887989
1383000,7298.150618488444,7228.7152781995665,-4881.166821402232
1383030,7290.851764808168,7220.908093826075,-4875.220815594135
1383060,7283.559169354517,7213.109345524132,-4869.281013588586
1383090,7276.272729991974,7205.318928180699,-4863.347331559755
1383120,7268.992352472521,7197.536744437165,-4857.41969138543
1383150,7261.717950446218,7189.762704764371,-4851.498020992683
1383180,7254.449445429775,7181.99672755198,-4845.5822548763845
1383210,7247.186766750836,7174.2387391602415,-4839.672333235014
1383240,7239.92985148062,7166.488673966732,-4833.768202489178
1383270,7232.678644362065,7158.7464743941855,-4827.869815454444
1383300,7225.433097732737,7151.012090923736,-4821.977131514171
1383330,7218.1931714433495,7143.285482076181,-4816.090115409662
1383360,7210.958832773078,7135.566614395904,-4810.2087391413625
1383390,7203.7300563375,7127.855462401475,-4804.332980067657
1383420,7196.506823991504,7120.152008519523,-4798.462822114729
1383450,7189.289124724394,7112.456243009654,-4792.5982552580435
1383480,7182.076954549011,7104.768163865572,-4786.739275176683
1383510,7174.870316382614,7097.087776702707,-4780.885883771853
1383540,7167.669219920067,7089.415094636679,-4775.038088994042
1383570,7160.473681497618,7081.750138126894,-4769.195903806009
1383600,7153.283723953141,7074.092934841579,-4763.3593472197945
1383630,7146.099376474309,7066.443519473358,-4757.528443951058
1383660,7138.920674442474,7058.801933569942,-4751.703223382046
1383690,7131.747659270359,7051.168225349613,-4745.883720771458
1383720,7124.580378233221,7043.542449501783,-4740.069976044583
1383750,7117.418884292957,7035.924666975116,-4734.262033793307
1383780,7110.263235918469,7028.314944774002,-4728.45994396745
1383810,7103.113496900573,7020.713355734152,-4722.6637604920825
1383840,7095.9697361653125,7013.119978306274,-4716.873541958863
1383870,7088.832027580628,7005.534896320171,-4711.089351107536
1383900,7081.700449763041,6997.958198760502,-4705.311254480251
1383930,7074.575085881874,6990.389979534737,-4699.539322767242
1383960,7067.456023459718,6982.830337228122,-4693.773630461152
1383990,7060.343354174845,6975.279374880281,-4688.014254820011
1384020,7053.2371736629575,6967.737199748091,-4682.261277422768
1384050,7046.137581317456,6960.20392306757,-4676.514781922413
1384080,7039.044680091734,6952.67965981925,-4670.7748556015085
1384110,7031.958576303073,6945.164528507296,-4665.041588508005
1384140,7024.879379438248,6937.658650924397,-4659.31507293673
1384170,7017.807201962249,6930.162151938745,-4653.5954037750635
1384200,7010.742159131466,6922.675159273043,-4647.882677984426
1384230,7003.684368806688,6915.1978032848,-4642.176995118788
1384260,6996.633951305326,6907.730216763659,-4636.478456287654
1384290,6989.591029927916,6900.272534642036,-4630.78716398322
1384320,6982.555728440868,6892.824894105772,-4625.103223290235
1384350,6975.528173207719,6885.387434097936,-4619.426739984793
1384380,6968.5084925289675,6877.9602952185205,-4613.7578215713565
1384410,6961.49681634621,6870.543619568048,-4608.0965767642465
1384440,6954.493276048926,6863.137550601235,-4602.443114969129
1384470,6947.498004327993,6855.742232969569,-4596.797546974367
1384500,6940.511135046193,6848.357812384603,-4591.159984432503
1384530,6933.532803118034,6840.984435482543,-4585.530539514592
1384560,6926.563144400895,6833.6222497097515,-4579.909325255876
1384590,6919.602295588743,6826.271403207359,-4574.296455210101
1384620,6912.650394109701,6818.932044715077,-4568.692043622365
1384650,6905.707577887382,6811.604323495724,-4563.096204737763
1384680,6898.7739859373305,6804.288389185221,-4557.509053665577
1384710,6891.849757097806,6796.984391870099,-4551.930705515085
1384740,6884.935031311613,6789.692481869542,-4546.361276086914
1384770,6878.029948397414,6782.412809836089,-4540.800881008855
1384800,6871.134648469523,6775.145526672793,-4535.2496362543725
1384830,6864.249272402818,6767.8907834501615,-4529.7076583154385
1384860,6857.373961391563,6760.64873145367,-4524.17506368403
1384890,6850.508856260489,6753.419522272149,-4518.6519688521175
1384920,6843.654098701705,6746.2033076618145,-4513.138491175861
1384950,6836.80983056579,6739.000239662294,-4507.634747492909
1384980,6829.976193973843,6731.810470625199,-4502.140855677927
1385010,6823.153331371161,6724.634153265022,-4496.656933432749
1385040,6816.3413855734325,6717.471440720731,-4491.183098977714
1385070,6809.540499814537,6710.322486616678,-4485.719471051675
1385100,6802.750817802244,6703.187445159897,-4480.266168911995
1385130,6795.972483783126,6696.066471232314,-4474.823312334545
1385160,6789.20564261548,6688.959720486967,-4469.391021786547
1385190,6782.450439850266,6681.867349462615,-4463.969418253727
1385220,6775.707021823708,6674.7895157174835,-4458.558624104511
1385250,6768.975535754811,6667.726377947662,-4453.158762052997
1385280,6762.256129851539,6660.67809613174,-4447.769956368811
1385310,6755.5489534242615,6653.6448316709175,-4442.3923321857665
1385340,6748.854157005936,6646.626747550089,-4437.026015847532
1385370,6742.171892482029,6639.624008503388,-4431.671135426145
1385400,6735.502313221068,6632.6367811687005,-4426.3278205491715
1385430,6728.845574215036,6625.665234264401,-4420.996202054038
1385460,6722.201832224152,6618.709538773718,-4415.6764131978825
1385490,6715.57124592421,6611.769868111667,-4410.368588793377
1385520,6708.953976059807,6604.846398320852,-4405.072865900068
1385550,6702.35018560131,6597.939308255646,-4399.789383824383
1385580,6695.76003990503,6591.048779772834,-4394.518284119624
1385610,6689.183706873291,6584.174997917163,-4389.25971127732
1385640,6682.621357119311,6577.31815111764,-4384.0138122087155
1385670,6676.073164131437,6570.478431378325,-4378.780736417604
1385700,6669.539304438024,6563.656034462457,-4373.5606370373525
1385730,6663.019957772109,6556.851160086217,-4368.353669793878
1385760,6656.5153072352105,6550.064012097629,-4363.159994042671
1385790,6650.025539460612,6543.294798668882,-4357.9797722502835
1385820,6643.550844773961,6536.543732466943,-4352.813170858511
1385850,6637.091417348423,6529.81103081862,-4347.660359765885
1385880,6630.647455360037,6523.096915889274,-4342.521512500512
1385910,6624.219161134533,6516.401614833146,-4337.396806911411
1385940,6617.806741292852,6509.725359947171,-4332.286424822852
1385970,6611.41040688823,6503.068388813104,-4327.190552207186
1386000,6605.030365861501,6496.430936371346,-4322.109373135557
1386030,6598.675625391027,6489.82461454325,-4317.052047783238
1386060,6592.3381625759785,6483.238722756626,-4312.010145518906
1386090,6586.018156798886,6476.673538620341,-4306.983879795957
1386120,6579.715824071993,6470.1293765410155,-4301.973493622872
1386150,6573.431413352912,6463.606580148353,-4296.979254378112
1386180,6567.1652023917295,6457.105516547624,-4292.0014484521835
1386210,6560.917493572972,6450.626571613397,-4287.040376926717
1386240,6554.688609978283,6444.170146010152,-4282.096352981915
1386270,6548.4788917535025,6437.736651731165,-4277.169698612655
1386300,6542.288692791612,6431.326509027131,-4272.260742208777
1386330,6536.118377723629,6424.940143640372,-4267.369816999546
1386360,6529.968319193597,6418.577984316133,-4262.497257942598
1386390,6523.838895383252,6412.240460514278,-4257.643400859749
1386420,6517.730487767647,6405.928000335571,-4252.808580881472
1386450,6511.643479075007,6399.641028620767,-4247.993130200014
1386480,6505.578251435202,6393.379965231637,-4243.197377032376
1386510,6499.535184703251,6387.145223495473,-4238.421644928965
1386540,6493.514654933064,6380.937208773056,-4233.666250872394
1386570,6487.517033007828,6374.756317212991,-4228.9315051046415
1386600,6481.542683401166,6368.602934604109,-4224.217709225848
1386630,6475.592016307787,6362.477424433748,-4219.52514634262
1386660,6469.665253141618,6356.380173180147,-4214.854122894529
1386690,6463.762814102106,6350.311515804754,-4210.204898655219
1386720,6457.885025527962,6344.27178809289,-4205.577736682234
1386750,6452.032203776043,6338.261311489969,-4200.972888971566
1386780,6446.204654407542,6332.280392645663,-4196.390595766306
1386810,6440.402671465912,6326.329323046296,-4191.83108590232
1386840,6434.626536918716,6320.408378741892,-4187.294575598392
1386870,6428.8765202161285,6314.517820096436,-4182.781269493241
1386900,6423.1528779574355,6308.6578916479275,-4178.2913590899925
1386930,6417.455853636442,6302.828821996192,-4173.8250244845485
1386960,6411.785677458203,6297.030823756169,-4169.382432464379
1386990,6406.142566222471,6291.264093579164,-4164.963737718381
1387020,6400.526723254625,6285.528812193235,-4160.569082664042
1387050,6394.938338385673,6279.825144494816,-4156.198597101767
1387080,6389.377587978667,6274.153239697598,-4151.852398906222
1387110,6383.844634989111,6268.51323149545,-4147.530593507831
1387140,6378.339629064403,6262.905238268165,-4143.233274584116
1387170,6372.862706666056,6257.329363307362,-4138.960524405372
1387200,6367.41399122687,6251.7856950749,-4134.712412797649
1387230,6361.993593331435,6246.274307490732,-4130.488999216792
1387260,6356.601610912007,6240.795260213211,-4126.2903311929085
1387290,6351.238129471138,6235.348598968401,-4122.116446058738
1387320,6345.9032223181875,6229.934355879734,-4117.9673699126315
1387350,6340.596950820927,6224.552549811282,-4113.8431190012425
1387380,6335.3193646683585,6219.203186715731,-4109.743699373859
1387410,6330.070502149364,6213.886260010325,-4105.669107055236
1387440,6324.850390434992,6208.601750937584,-4101.6193287369415
1387470,6319.65904587325,6203.349628951541,-4097.594341950198
1387500,6314.49647428636,6198.129852084218,-4093.594115238716
1387530,6309.362671276142,6192.942367344851,-4089.6186086772045
1387560,6304.257622535906,6187.787111107195,-4085.6677736985343
1387590,6299.181304156808,6182.664009478402,-4081.7415539579238
1387620,6294.133682946696,6177.572978710525,-4077.8398853329354
1387650,6289.114716739554,6172.5139255593895,-4073.9626966148253
1387680,6284.124354713178,6167.486747687909,-4070.1099088171964
1387710,6279.1625377029,6162.4913340371195,-4066.28143655869
1387740,6274.2291985137035,6157.527565205988,-4062.4771880629887
1387770,6269.324262229236,6152.595313816657,-4058.6970648131414
1387800,6264.447646523931,6147.694444893436,-4054.9409629342567
1387830,6259.599438803941,6142.824784512824,-4051.2087426013986
1387860,6254.779298438729,6137.98622267856,-4047.500326038027
1387890,6249.98714693121,6133.178601133196,-4043.8155901843706
1387920,6245.222890887168,6128.401756364645,-4040.1544080054136
1387950,6240.4864254153945,6123.655519616622,-4036.5166488365676
1387980,6235.777636400286,6118.939716979733,-4032.9021776923255
1388010,6231.096402060403,6114.254169583361,-4029.3108559576085
1388040,6226.442594046171,6109.598693826433,-4025.742541214929
1388070,6221.8160782264185,6104.9731015981315,-4022.1970877629014
1388100,6217.216715288566,6100.377200559527,-4018.6743462705676
1388130,6212.644361206949,6095.810794387976,-4015.174164468745
1388160,6208.098867628078,6091.2736830536,-4011.6963873228624
1388190,6203.580082199329,6086.765663071175,-4008.2408566872878
1388220,6199.087848857321,6082.286527752589,-4004.807412169511
1388250,6194.622008088173,6077.836067453828,-4001.39589130298
1388280,6190.182397171832,6073.414069820098,-3998.0061288557563
1388310,6185.768850407687,6069.020320016079,-3994.637958213206
1388340,6181.381199325099,6064.654600940635,-3991.291210513817
1388370,6177.019312324375,6060.316686218785,-3987.965708945588
1388400,6172.682922145607,6056.006371125972,-3984.661296918418
1388430,6168.371956217117,6051.723415563021,-3981.377785176057
1388460,6164.086132221694,6047.467613366318,-3978.1150160913835
1388490,6159.825334956087,6043.238728806403,-3974.872804901904
1388520,6155.58938041044,6039.0365357390865,-3971.6509756598016
1388550,6151.378084037273,6034.860806966324,-3968.449351898746
1388580,6147.191260587565,6030.711314434974,-3965.2677562882254
1388610,6143.028724006717,6026.587829394803,-3962.1060108063807
1388640,6138.890287409957,6022.490122556621,-3958.9639370856785
1388670,6134.775763111635,6018.41796424226,-3955.8413564129123
1388700,6130.684962674309,6014.371124486458,-3952.7380900748763
1388730,6126.617696983159,6010.349373178818,-3949.6539588398527
1388760,6122.5737763209445,6006.352480147782,-3946.5887836489624
1388790,6118.55301045098,6002.380215275263,-3943.542385270488
1388820,6114.555208697435,5998.432348575974,-3940.51458464555
1388850,6110.580180023604,5994.508650280246,-3937.5052030609413
1388880,6106.627733106112,5990.608890912197,-3934.5140618034566
1388910,6102.697676404527,5986.732841349422,-3931.540982332725
1388940,6098.789818224333,5982.880272879656,-3928.5857866268875
1388970,6094.903966780239,5979.0509572693445,-3925.6482966640847
1389000,6091.039930244607,5975.244666782104,-3922.7283354594774
1389030,6087.197591254602,5971.461161766748,-3919.8257139296543
1389060,6083.376581468668,5967.700244666327,-3916.9402830893305
1389090,6079.576821431019,5963.961671767018,-3914.071850052686
1389120,6075.798116072561,5960.2452180628525,-3911.2202393904117
1389150,6072.040271592768,5956.550659074615,-3908.385276191711
1389180,6068.30309521311,5952.8777708801,-3905.566786237133
1389210,6064.586394886219,5949.226330139002,-3902.764595134389
1389240,6060.889979111651,5945.596114117276,-3899.978529355376
1389270,6057.21365681763,5941.986900692782,-3897.2084155448274
1389300,6053.557237279031,5938.398468340106,-3894.4540812116593
1389330,6049.920530063921,5934.830596120385,-3891.7153538647885
1389360,6046.3033449880095,5931.283063648184,-3888.9920615316423
