time,reaQFloHea_y,reaQHeaPumCon_y,reaQHeaPumEva_y
1382400,7445.464652900132,7386.771485507761,-5001.493945256057
1382430,7021.922577404339,6211.866033497275,-4077.447665498156
1382460,6774.908436491239,6221.889816483884,-4091.218268341493
1382490,6629.225807621824,6222.363796908893,-4095.0731122051807
1382520,6541.213138138895,6217.425852898129,-4093.30547353403
1382550,6486.365079840491,6209.397708394951,-4088.322486999155
1382580,6450.623676296628,6199.6096348995425,-4081.5026042034965
1382610,6425.764224154506,6188.83881782546,-4073.650733873715
1382640,6407.039098067551,6177.5336743951075,-4065.2309796887407
1382670,6391.773906523729,6165.947379131788,-4056.505100496952
1382700,6378.495019317961,6154.2204243376655,-4047.6181018435036
1382730,6366.382227146688,6142.432145579415,-4038.651642873835
1382760,6354.903087635261,6130.634814535531,-4029.659374364118
1382790,6343.71391426719,6118.8628791585,-4020.676523037929
1382820,6332.630290110977,6107.135795725076,-4011.7228334206857
1382850,6321.5741014964615,6095.4630040470565,-4002.8077211403847
1382880,6310.515902341145,6083.849265108784,-3993.9358012841053
1382910,6299.441688127292,6072.297710565341,-3985.1100452613687
1382940,6288.344096892701,6060.810647591226,-3976.332612667451
1382970,6277.222526818505,6049.3895603812025,-3967.6048499006874
1383000,6266.081974140495,6038.035235684913,-3958.927417370325
1383030,6254.929928802625,6026.7480633544565,-3950.3005969731144
1383060,6243.773944711391,6015.528271258764,-3941.72453181789
1383090,6232.6208954795775,6004.376005421443,-3933.1993076316826
1383120,6221.477141988769,5993.2913277867065,-3924.7249463647613
1383150,6210.348703168522,5982.274213822899,-3916.3014018697118
1383180,6199.241194178962,5971.324570286459,-3907.9285752839087
1383210,6188.15970948454,5960.442256652439,-3899.606336115601
1383240,6177.108796974209,5949.627097225232,-3891.3345319227697
1383270,6166.092511977408,5938.8788852986,-3883.112991251351
1383300,6155.1144801877035,5928.197385419281,-3874.9415241537504
1383330,6144.2019199574015,5917.618651646204,-3866.8482971448675
1383360,6133.336661729935,5907.105733981848,-3858.804426782935
1383390,6122.520626554151,5896.658315413142,-3850.809675071739
1383420,6111.755565607852,5886.276070790852,-3842.8637991756364
1383450,6101.043057228893,5875.95866757709,-3834.9665524565753
1383480,6090.384510544138,5865.705766973959,-3827.1176849926055
1383510,6079.781173000467,5855.5170250814435,-3819.316944442062
1383540,6069.234140048196,5845.392094019423,-3811.564076389239
1383570,6058.7443658566635,5835.33062301631,-3803.858825208573
1383600,6048.312674333684,5825.332259391033,-3796.2009354473375
1383630,6037.939770004091,5815.396649476829,-3788.590150788623
1383660,6027.626248474355,5805.523439435853,-3781.0262162982126
1383690,6017.372606335956,5795.712276010203,-3773.5088775604004
1383720,6007.17925042175,5785.962807169282,-3766.0378824063587
1383750,5997.046506393712,5776.274682692318,-3758.6129797042795
1383780,5986.974626662413,5766.64755467796,-3751.2339209149072
1383810,5976.963797656695,5757.081077975253,-3743.900459918699
1383840,5967.014146480232,5747.574910569317,-3736.6123530158297
1383870,5957.125746985891,5738.128713893793,-3729.3693599632056
1383900,5947.298625312138,5728.7421530983565,-3722.1712429374506
1383930,5937.532950297752,5719.4148670743325,-3715.0177388810207
1383960,5927.828227282549,5710.14659722511,-3707.9086813521185
1383990,5918.184646936051,5700.936980485271,-3700.843803490792
1384020,5908.602082116195,5691.7856995473085,-3693.8228818191155
1384050,5899.080381516518,5682.6924412845065,-3686.8456956245495
1384080,5889.619372237088,5673.656896851528,-3679.9120274784545
1384110,5880.218861845495,5664.678761788429,-3673.0216632360894
1384140,5870.878640428333,5655.757736062859,-3666.17439203661
1384170,5861.5984825712585,5646.893524098637,-3659.370006475908
1384200,5852.378149223663,5638.085834755819,-3652.6083020881015
1384230,5843.217647144869,5629.334339252117,-3645.889038457261
1384260,5834.116359400003,5620.638808591063,-3639.212068499307
1384290,5825.074051237732,5611.998960881222,-3632.577193624805
1384320,5816.090467781672,5603.414519952275,-3625.9842197380785
1384350,5807.1653396912425,5594.885214601206,-3619.4329567186937
1384380,5798.298387155579,5586.410778255375,-3612.9232180757913
1384410,5789.4893227362545,5577.990948681058,-3606.4548200838985
1384440,5780.737853455331,5569.62546779839,-3600.0275826471143
1384470,5772.043682363857,5561.314081528,-3593.64132826209
1384500,5763.406509749596,5553.0565396435195,-3587.2958820180274
1384530,5754.826034099892,5544.8525956747435,-3580.991072115191
1384560,5746.301952881483,5536.70200681227,-3574.7267290007217
1384590,5737.8339631899635,5528.604533823633,-3568.5026858871493
1384620,5729.421762296931,5520.55994097819,-3562.3187784067186
1384650,5721.0650481239845,5512.56799599418,-3556.174844611388
1384680,5712.763519649901,5504.628469968347,-3550.0707251456683
1384710,5704.516877273859,5496.741137343665,-3544.0062625552737
1384740,5696.3248231335465,5488.905775866838,-3537.981302151307
1384770,5688.187061395036,5481.122166567763,-3531.995691318912
1384800,5680.103298507373,5473.390093725813,-3526.0492798629475
1384830,5672.073243438888,5465.709344875005,-3520.141920007986
1384860,5664.096607891468,5458.079710799109,-3514.2734658798045
1384890,5656.173106496452,5450.500985535535,-3508.4437743695694
1384920,5648.302456998219,5442.972966403269,-3502.652704442486
1384950,5640.484380425375,5435.495454026737,-3496.90011731064
