time,reaTZon_y,oveTSet_u
1382400,294.4643919860063,294.34999999999997
1382430,294.46549037651596,294.15
1382460,294.46658123464636,294.15
1382490,294.4676634024553,294.15
1382520,294.468735608953,294.15
1382550,294.46979669644054,294.15
1382580,294.4708456839777,294.15
1382610,294.47188175666145,294.15
1382640,294.4729042432594,294.15
1382670,294.4739125977703,294.15
1382700,294.4749063743376,294.15
1382730,294.475885208185,294.15
1382760,294.47684879926226,294.15
1382790,294.47779690261336,294.15
1382820,294.47872932175574,294.15
1382850,294.47964590257084,294.15
1382880,294.48054652757196,294.15
1382910,294.4814311110133,294.15
1382940,294.4822995949828,294.15
1382970,294.4831519462095,294.15
1383000,294.4839881532904,294.15
1383030,294.48480822418816,294.15
1383060,294.4856121839748,294.15
1383090,294.4864000728202,294.15
1383120,294.48717194420783,294.15
1383150,294.4879278633412,294.15
1383180,294.48866790570935,294.15
1383210,294.4893921557933,294.15
1383240,294.4901007059,294.15
1383270,294.490793655108,294.15
1383300,294.4914711083643,294.15
1383330,294.49212558184934,294.15
1383360,294.492764904527,294.15
1383390,294.49338919667383,294.15
1383420,294.4939985807212,294.15
1383450,294.49459318082774,294.15
1383480,294.49517312249276,294.15
1383510,294.4957385322093,294.15
1383540,294.4962895371533,294.15
1383570,294.4968262649059,294.15
1383600,294.497348843206,294.15
1383630,294.4978573997305,294.15
1383660,294.49835206189925,294.15
1383690,294.49883295670406,294.15
1383720,294.4993002105571,294.15
1383750,294.4997539491596,294.15
1383780,294.500194297387,294.15
1383810,294.50062137919065,294.15
1383840,294.5010353175127,294.15
1383870,294.5014362342147,294.15
1383900,294.50182425001765,294.15
1383930,294.50219948615967,294.15
1383960,294.5025620574123,294.15
1383990,294.5029120826431,294.15
1384020,294.5032496776032,294.15
1384050,294.5035749567402,294.15
1384080,294.50388803318646,294.15
1384110,294.504189018753,294.15
1384140,294.5044780239281,294.15
1384170,294.5047551578795,294.15
1384200,294.50502052846076,294.15
1384230,294.5052742446762,294.15
1384260,294.50551640911397,294.15
1384290,294.50574712576287,294.15
1384320,294.50596649734496,294.15
1384350,294.5061746253326,294.15
1384380,294.50637160996564,294.15
1384410,294.50655755026946,294.15
1384440,294.50673254407354,294.15
1384470,294.50689668802994,294.15
1384500,294.507050077632,294.15
1384530,294.5071928072325,294.15
1384560,294.5073249700614,294.15
1384590,294.5074466582429,294.15
1384620,294.5075579628117,294.15
1384650,294.507658973728,294.15
1384680,294.50774977989204,294.15
1384710,294.50783046915683,294.15
1384740,294.50790112833954,294.15
1384770,294.507961843232,294.15
1384800,294.5080126986095,294.15
1384830,294.50805377823775,294.15
1384860,294.5080851648789,294.15
1384890,294.50810694029525,294.15
1384920,294.5081191852522,294.15
1384950,294.5081219795187,294.15
1384980,294.5081154018669,294.15
1385010,294.50809953006905,294.15
1385040,294.50807444089423,294.15
1385070,294.5080402101024,294.15
1385100,294.5079969124372,294.15
1385130,294.50794462378974,294.15
1385160,294.5078834144547,294.15
1385190,294.50781335608366,294.15
1385220,294.50773451926875,294.15
1385250,294.5076469735278,294.15
1385280,294.5075507872889,294.15
1385310,294.50744602787364,294.15
1385340,294.50733276148003,294.15
1385370,294.5072110531638,294.15
1385400,294.5070809668189,294.15
1385430,294.50694256515783,294.15
1385460,294.50679590969105,294.15
1385490,294.50664106070553,294.15
1385520,294.5064780772435,294.15
1385550,294.50630701708053,294.15
1385580,294.5061279367036,294.15
1385610,294.50594089128924,294.15
1385640,294.50574593582706,294.15
1385670,294.50554312041777,294.15
1385700,294.50533249741966,294.15
1385730,294.50511411784237,294.15
1385760,294.50488802730837,294.15
1385790,294.5046542740811,294.15
1385820,294.5044129035822,294.15
1385850,294.50416395975327,294.15
1385880,294.5039074850489,294.15
1385910,294.50364352042163,294.15
1385940,294.5033721053089,294.15
1385970,294.50309327762136,294.15
1386000,294.5028095404492,294.15
1386030,294.5025159815579,294.15
