time,hvac_oveZonSupWes_TZonHeaSet_u,hvac_oveZonSupWes_TZonCooSet_u,hvac_reaZonWes_TZon_y
950400.0,285.15,303.15,292.2576978891509
950400.0,285.15,303.15,292.2576978891509
950430.0,285.15,303.15,292.2569420062808
950460.0,285.15,303.15,292.25620370736357
950490.0,285.15,303.15,292.25548336102054
950520.0,285.15,303.15,292.2547754215291
950550.0,285.15,303.15,292.2540779112002
950580.0,285.15,303.15,292.2533891766545
950610.0,285.15,303.15,292.25270788720593
950640.0,285.15,303.15,292.2520329855298
950670.0,285.15,303.15,292.25136363537126
950700.0,285.15,303.15,292.2506991782122
950730.0,285.15,303.15,292.25003909793827
950760.0,285.15,303.15,292.24938299207355
950790.0,285.15,303.15,292.2487305483773
950820.0,285.15,303.15,292.248081525811
950850.0,285.15,303.15,292.2474357390824
950880.0,285.15,303.15,292.2467930461051
950910.0,285.15,303.15,292.2461533378459
950940.0,285.15,303.15,292.24551653011935
950970.0,285.15,303.15,292.2448825569785
951000.0,285.15,303.15,292.2442513654053
951030.0,285.15,303.15,292.2436229110666
951060.0,285.15,303.15,292.24299715493555
951090.0,285.15,303.15,292.24237406062343
951120.0,285.15,303.15,292.2417535922858
951150.0,285.15,303.15,292.24113571299847
951180.0,285.15,303.15,292.24052038351243
951210.0,285.15,303.15,292.23990756131826
951240.0,285.15,303.15,292.2392971999578
951270.0,285.15,303.15,292.23868924853565
951300.0,285.15,303.15,292.2380836513919
951330.0,285.15,303.15,292.23748034790117
951360.0,285.15,303.15,292.2368792723733
951390.0,285.15,303.15,292.2362803540326
951420.0,285.15,303.15,292.23568351705904
951450.0,285.15,303.15,292.2350886806764
951480.0,285.15,303.15,292.23449575927725
951510.0,285.15,303.15,292.23390466256984
951540.0,285.15,303.15,292.23331529574796
951570.0,285.15,303.15,292.23272755967304
951600.0,285.15,303.15,292.2321413510628
951630.0,285.15,303.15,292.2315565626826
951660.0,285.15,303.15,292.2309730835394
951690.0,285.15,303.15,292.2303907990718
951720.0,285.15,303.15,292.22980959133844
951750.0,285.15,303.15,292.2292293392013
951780.0,285.15,303.15,292.22864991850435
951810.0,285.15,303.15,292.22807120224223
951840.0,285.15,303.15,292.2274930607266
951870.0,285.15,303.15,292.2269153617427
951900.0,285.15,303.15,292.2263379706991
951930.0,285.15,303.15,292.2257607507696
951960.0,285.15,303.15,292.22518356302913
951990.0,285.15,303.15,292.2246062665822
952020.0,285.15,303.15,292.2240287186832
952050.0,285.15,303.15,292.223450774851
952080.0,285.15,303.15,292.22287228897727
952110.0,285.15,303.15,292.22229311342784
952140.0,285.15,303.15,292.22171309913904
