time,ahu_reaPFanExt_y,ahu_reaPFanSup_y,reaPPum_y,reaQHea_y
3024000,268.167253,515.9203623,139.7303395,50987.74338
3024030,268.167253,515.9203623,139.9090169,51353.76958
3024060,268.167253,515.9203623,140.0893906,51723.37436
3024090,268.167253,515.9203623,140.2714665,52096.55839
3024120,268.167253,515.9203623,140.4551876,52473.20259
3024150,268.167253,515.9203623,140.6404902,52853.17316
3024180,268.167253,515.9203623,140.8273082,53236.33048
3024210,268.167253,515.9203623,141.015574,53622.53075
3024240,268.167253,515.9203623,141.2052196,54011.63161
3024270,268.167253,515.9203623,141.396176,54403.48293
3024300,268.167253,515.9203623,141.5883741,54797.93692
3024330,268.167253,515.9203623,141.7817439,55194.84257
3024360,268.167253,515.9203623,141.9762151,55594.04785
3024390,268.167253,515.9203623,142.1717169,55995.39863
3024420,268.167253,515.9203623,142.3681783,56398.73975
3024450,268.167253,515.9203623,142.5655276,56803.91425
3024480,268.167253,515.9203623,142.7636931,57210.76416
3024510,268.167253,515.9203623,142.9626025,57619.13001
3024540,268.167253,515.9203623,143.1621833,58028.85148
3024570,268.167253,515.9203623,143.3623629,58439.76699
3024600,268.167253,515.9203623,143.5630683,58851.71385
3024630,268.167253,515.9203623,143.7642262,59264.52879
3024660,268.167253,515.9203623,143.9657636,59678.04751
3024690,268.167253,515.9203623,144.1676069,60092.10175
3024720,268.167253,515.9203623,144.3696826,60506.53679
3024750,268.167253,515.9203623,144.5719173,60921.17365
3024780,268.167253,515.9203623,144.7742372,61335.85472
3024810,268.167253,515.9203623,144.976569,61750.4047
3024840,268.167253,515.9203623,145.178839,62164.66789
3024870,268.167253,515.9203623,145.3809738,62578.46207
3024900,268.167253,515.9203623,145.5829001,62991.63995
3024930,268.167253,515.9203623,145.7845448,63404.00714
3024960,268.167253,515.9203623,145.9858349,63815.43449
3024990,268.167253,515.9203623,146.1866976,64225.70132
3025020,268.167253,515.9203623,146.3870604,64634.71969
3025050,268.167253,515.9203623,146.5868512,65042.2074
3025080,268.167253,515.9203623,146.7859981,65448.17514
3025110,268.167253,515.9203623,146.9844295,65852.18701
3025140,268.167253,515.9203623,147.1820744,66254.50549
3025170,268.167253,515.9203623,147.378862,66654.28591
3025200,268.167253,515.9203623,147.5747221,67052.47644
3025230,268.167253,515.9203623,147.7695851,67447.07812
3025260,268.167253,515.9203623,147.9633816,67841.02711
3025290,268.167253,515.9203623,148.1560432,68230.69819
3025320,268.167253,515.9203623,148.3475016,68617.74963
3025350,268.167253,515.9203623,148.5376896,69000.97881
3025380,268.167253,515.9203623,148.7265404,69382.65412
3025410,268.167253,515.9203623,148.9139879,69758.18419
3025440,268.167253,515.9203623,149.0999668,70132.36657
3025470,268.167253,515.9203623,149.2844125,70502.77853
3025500,268.167253,515.9203623,149.4672612,70870.01702
3025530,268.167253,515.9203623,149.6484499,71231.52655
3025560,268.167253,515.9203623,149.8279164,71591.90622
3025590,268.167253,515.9203623,150.0055995,71945.75085
3025620,268.167253,515.9203623,150.1814387,72294.89021
3025650,268.167253,515.9203623,150.3553745,72639.58413
3025680,268.167253,515.9203623,150.5273484,72980.11503
3025710,268.167253,515.9203623,150.6973028,73315.4814
3025740,268.167253,515.9203623,150.8651811,73647.09688
3025770,268.167253,515.9203623,151.0309276,73971.37617
3025800,268.167253,515.9203623,151.1944879,74292.06076
3025830,268.167253,515.9203623,151.3558084,74608.40529
3025860,268.167253,515.9203623,151.5148366,74917.9518
3025890,268.167253,515.9203623,151.6715213,75223.3114
3025920,268.167253,515.9203623,151.8258122,75522.34096
3025950,268.167253,515.9203623,151.9776601,75815.68938
3025980,268.167253,515.9203623,152.1270171,76103.23199
3026010,268.167253,515.9203623,152.2738365,76384.8981
3026040,268.167253,515.9203623,152.4180725,76660.58712
3026070,268.167253,515.9203623,152.5596806,76930.21206
3026100,268.167253,515.9203623,152.6986177,77193.6868
3026130,268.167253,515.9203623,152.8348418,77450.93032
3026160,268.167253,515.9203623,152.9683119,77701.86487
3026190,268.167253,515.9203623,153.0989885,77946.41677
3026220,268.167253,515.9203623,153.2268332,78184.51606
3026250,268.167253,515.9203623,153.3518091,78416.09672
3026280,268.167253,515.9203623,153.4738802,78641.0966
3026310,268.167253,515.9203623,153.5930119,78859.45749
3026340,268.167253,515.9203623,153.7091711,79071.12505
3026370,268.167253,515.9203623,153.8223256,79276.0489
3026400,268.167253,515.9203623,153.9324448,79474.18257
3026430,268.167253,515.9203623,154.0394993,79665.48348
3026460,268.167253,515.9203623,154.1434608,79849.91295
3026490,268.167253,515.9203623,154.2443025,80027.43619
3026520,268.167253,515.9203623,154.3419988,80198.02224
3026550,268.167253,515.9203623,154.4365256,80361.64397
3026580,268.167253,515.9203623,154.5278597,80518.27804
3026610,268.167253,515.9203623,154.6159796,80667.90484
3026640,268.167253,515.9203623,154.7008648,80810.50848
3026670,268.167253,515.9203623,154.7824963,80946.0767
3026700,268.167253,515.9203623,154.8608562,81074.60086
3026730,268.167253,515.9203623,154.9359281,81196.07585
3026760,268.167253,515.9203623,155.0076966,81310.50004
3026790,268.167253,515.9203623,155.076148,81417.87523
3026820,268.167253,515.9203623,155.1412694,81518.20655
3026850,268.167253,515.9203623,155.2030495,81611.50242
3026880,268.167253,515.9203623,155.2614781,81697.77445
3026910,268.167253,515.9203623,155.3165464,81777.0374
3026940,268.167253,515.9203623,155.3682467,81849.30904
3026970,268.167253,515.9203623,155.4165726,81914.61013
3027000,268.167253,515.9203623,155.461519,81972.96431
3027030,268.167253,515.9203623,155.5030819,82024.39803
3027060,268.167253,515.9203623,155.5412587,82068.94041
3027090,268.167253,515.9203623,155.5760479,82106.62325
3027120,268.167253,515.9203623,155.6074491,82137.48086
3027150,268.167253,515.9203623,155.6354633,82161.55
3027180,268.167253,515.9203623,155.6600926,82178.8698
3027210,268.167253,515.9203623,155.6813402,82189.48168
3027240,268.167253,515.9203623,155.6992106,82193.42921
3027270,268.167253,515.9203623,155.7137093,82190.75811
3027300,268.167253,515.9203623,155.7248431,82181.51609
3027330,268.167253,515.9203623,155.7326198,82165.75278
3027360,268.167253,515.9203623,155.7370484,82143.51969
3027390,268.167253,515.9203623,155.7381389,82114.87007
3027420,268.167253,515.9203623,155.7359026,82079.85885
3027450,268.167253,515.9203623,155.7303517,82038.54258
3027480,268.167253,515.9203623,155.7214994,81990.97932
3027510,268.167253,515.9203623,155.7093603,81937.22858
3027540,268.167253,515.9203623,155.6939496,81877.35126
3027570,268.167253,515.9203623,155.6752839,81811.40953
3027600,268.167253,515.9203623,155.6533807,81739.4668
3027630,268.167253,515.9203623,155.6282582,81661.58763
3027660,268.167253,515.9203623,155.5999361,81577.83764
3027690,268.167253,515.9203623,155.5684346,81488.28433
3027720,268.167253,515.9203623,155.533775,81392.9933
3027750,268.167253,515.9203623,155.4959795,81292.03375
3027780,268.167253,515.9203623,155.4550713,81185.47522
3027810,268.167253,515.9203623,155.411075,81073.3885
3027840,268.167253,515.9203623,155.364016,80955.84541
3027870,268.167253,515.9203623,155.3139208,80832.91863
3027900,268.167253,515.9203623,155.2608167,80704.68149
3027930,268.167253,515.9203623,155.204732,80571.20795
3027960,268.167253,515.9203623,155.1456958,80432.57259
3027990,268.167253,515.9203623,155.0837379,80288.85057
3028020,268.167253,515.9203623,155.0188891,80140.11758
3028050,268.167253,515.9203623,154.951181,79986.44989
3028080,268.167253,515.9203623,154.8806459,79827.92423
3028110,268.167253,515.9203623,154.8073171,79664.61784
3028140,268.167253,515.9203623,154.7312285,79496.6084
3028170,268.167253,515.9203623,154.6524149,79323.97404
3028200,268.167253,515.9203623,154.5709117,79146.79331
