time,reaQHea_y
691200,31503.61052219574
691230,31506.622483372157
691260,31505.592041485303
691290,31500.522823192085
691320,31491.291726539013
691350,31477.919628664244
691380,31460.654690339197
691410,31439.840097063116
691440,31415.883236779144
691470,31389.236218982333
691500,31360.38470053984
691530,31329.83917739304
691560,31298.127233794086
691590,31265.786128231775
691620,31233.355549771604
691650,31201.370537661627
691680,31170.354614790544
691710,31140.813203794492
691740,31113.22739733689
691770,31088.04814770817
691800,31065.68381192109
691830,31046.50173983416
691860,31030.85119860286
691890,31019.018580137814
691920,31011.23698709796
691950,31007.685180474036
691980,31008.486347491653
692010,31013.707256772384
692040,31023.357994045637
692070,31037.39233760277
692100,31055.734826715612
692130,31079.588183028005
692160,31106.533448861977
692190,31136.598275446664
692220,31169.891928081594
692250,31206.166987330518
692280,31245.067575575256
692310,31286.190609186917
692340,31329.103591771844
692370,31373.35289956741
692400,31418.470210321608
692430,31463.97868724578
692460,31509.39919585637
692490,31554.256543169617
692520,31598.08567166307
692550,31640.43772649443
692580,31680.885912259277
692610,31719.031056711614
692640,31754.506801185787
692670,31786.984341238927
692700,31816.169947951697
692730,31841.82557373816
692760,31863.765799459175
692790,31881.849793852823
692820,31895.987984973963
692850,31906.143484273904
692880,31912.33238903439
692910,31914.623212513565
692940,31913.135540153577
692970,31908.03796902341
693000,31899.53130482194
693030,31886.959279838386
693060,31872.18245605493
693090,31855.266629000726
693120,31836.25504679195
693150,31815.479085066647
693180,31793.344611876284
693210,31770.275381929136
693240,31746.700455852522
693270,31723.049468705252
693300,31699.748012746742
693330,31677.212521616213
693360,31655.845052480367
693390,31636.028245101155
693420,31618.120590872848
693450,31602.452081900326
693480,31589.320287689665
693510,31578.986897245723
693540,31571.674759085112
693570,31567.565442762207
693600,31566.80326101652
693630,31569.473218907224
693660,31575.61673457808
693690,31585.235335015004
693720,31598.286748906507
693750,31614.68511042768
693780,31634.302134090187
693810,31656.968956979526
693840,31682.478523950816
693870,31710.5884516903
693900,31741.035094452873
693930,31774.075843742827
693960,31808.382472916102
693990,31843.81031531502
694020,31880.19515139073
694050,31917.197273309193
694080,31954.436443422568
694110,31991.529327091816
694140,32028.09879468577
694170,32063.778081590353
694200,32098.2148354767
694230,32131.07542847204
694260,32162.049233713227
694290,32190.85265079845
694320,32217.23276656612
694350,32240.97058520562
694380,32261.883779360367
694410,32279.82892250073
694440,32294.703171413963
694470,32306.445375019626
694500,32315.039773967892
694530,32320.514630747715
694560,32322.936854151572
694590,32322.411498959988
694620,32319.081286540968
694650,32313.124644598756
694680,32304.753078415346
694710,32294.208040380225
694740,32281.757394697084
694770,32267.691553644836
694800,32252.308641320113
694830,32235.67675552333
694860,32218.645845191666
694890,32201.414852439244
694920,32184.229619748938
694950,32167.405150731476
694980,32151.264771435886
695010,32136.121782854556
695040,32122.2729356042
695070,32109.99457760586
695100,32099.5393965042
695130,32091.13346212393
695160,32084.983402313494
695190,32081.24062829893
695220,32080.033953495396
695250,32081.46580244942
695280,32085.599694616856
695310,32092.46178908196
695340,32102.041808349415
695370,32114.29376209946
695400,32129.128200904466
695430,32146.42992417115
695460,32166.05515401991
695490,32187.829316129715
695520,32211.550846671315
695550,32236.994027324705
695580,32263.91207417765
695610,32292.040477567567
695640,32321.100558917202
695670,32350.803200046135
695700,32380.865108094542
695730,32410.92140234248
695760,32440.640440502793
695790,32469.810699422742
695820,32498.152284803058
695850,32525.40221682918
695880,32551.311187788157
695910,32575.688055950915
695940,32598.277513022513
695970,32618.39771954189
696000,32636.07953381552
696030,32651.758825304765
696060,32665.361816864053
696090,32676.73959940578
696120,32685.715883363275
696150,32692.270234009484
696180,32696.441128992483
696210,32698.29112465936
696240,32697.91696229309
696270,32695.44410129078
696300,32691.024728814842
696330,32684.83562564179
696360,32677.075624412613
696390,32667.962734813467
696420,32657.731021281663
696450,32646.627294842885
696480,32634.907672665682
696510,32622.8340539912
696540,32610.67701841146
696570,32598.66889283428
696600,32587.072444126272
696630,32576.4104366576
696660,32566.576530140363
696690,32557.795869165482
696720,32550.353016479035
696750,32544.637853109285
696780,32540.892327061152
696810,32538.687551669376
696840,32538.313734231822
696870,32539.978929607227
696900,32543.75467682261
696930,32549.66532363634
696960,32557.7094135428
696990,32567.86085339539
697020,32580.06751240947
697050,32594.250994609974
697080,32610.307512962212
697110,32628.10938693952
697140,32647.50691018758
697170,32668.330494450995
697200,32690.402558092035
697230,32713.521188969156
697260,32737.463339065846
697290,32761.977848025286
697320,32786.842602673634
697350,32811.8384141441
697380,32836.77410409343
697410,32861.393692801605
697440,32885.46533743092
697470,32908.75013077701
697500,32931.0655498402
697530,32951.78182446663
697560,32971.35624390003
697590,32989.62183047454
697620,33006.33696176342
697650,33021.37234976449
697680,33034.641474432516
697710,33046.08657861022
697740,33055.676067366156
697770,33063.40406862934
697800,33069.29017658694
697830,33073.37895737039
697860,33075.739136372016
697890,33076.46246361606
697920,33075.66227281048
697950,33073.47175701224
697980,33070.041989069505
698010,33065.539716560204
698040,33060.14496663673
698070,33054.048494832336
698100,33047.453785655925
698130,33040.56496109719
698160,33033.58479977262
698190,33026.71876594976
698220,33020.16965637979
698250,33014.134694434666
698280,33008.80289712127
698310,33004.35263206479
698340,33000.949334085286
698370,32998.743441221624
698400,32997.860112051596
698430,32998.905303924854
698460,33001.244587063644
698490,33005.01688732499
698520,33010.426140241456
698550,33017.52650155089
698580,33026.32356976083
698610,33036.797953439615
698640,33048.90878389069
698670,33062.59408539486
698700,33077.77138164321
698730,33094.3388023885
698760,33112.17654701991
698790,33131.14860605165
698820,33151.10469210371
698850,33171.88234769347
698880,33193.309202691824
698910,33215.205350226555
698940,33237.38581114654
698970,33259.663053747165
699000,33281.83813160133
699030,33303.73031768024
699060,33325.16668084566
699090,33345.97652380349
699120,33365.99803379441
699150,33385.0809121415
699180,33403.08849788406
699210,33419.899582802915
699240,33435.409968212116
699270,33449.533766772794
699300,33462.20710120966
699330,33472.61935329691
699360,33481.507000224745
699390,33488.89538299163
699420,33494.82938068146
699450,33499.37237235272
699480,33502.604981444565
699510,33504.62361064577
699540,33505.53879395841
699570,33505.47339304705
699600,33504.56066699035
699630,33502.9422453572
699660,33500.766035030785
699690,33498.18409116812
699720,33495.35048255577
699750,33492.41918068637
699780,33489.54200016887
699810,33486.866617732165
699840,33484.53469361184
699870,33482.68011788774
699900,33481.4274022841
699930,33480.89035008588
699960,33481.17032363217
699990,33482.355862291966
700020,33484.521340916086
700050,33487.72640855602
700080,33492.015524423245
700110,33497.41770286091
700140,33503.946466881505
700170,33511.60000647827
700200,33519.996436006506
700230,33529.848249521514
700260,33540.73629386267
700290,33552.60248463805
700320,33565.37690740083
700350,33578.97899474723
700380,33593.31882060194
700410,33608.29849164211
700440,33623.8136167151
700470,33639.754833302955
700500,33656.00936963572
700530,33672.46262175889
700560,33688.99972459604
700590,33705.50709562286
700620,33721.873931563234
700650,33737.99363885914
700680,33753.765179723894
700710,33769.09431667529
700740,33783.894741700045
700770,33798.0890754012
700800,33811.60972564593
700830,33824.39959642717
700860,33836.41263977506
700890,33847.61424618823
700920,33857.98147181991
