time,reaQHea_y
691200,31503.61052219574
691230,31506.622483314874
691260,31505.592041413565
691290,31500.52282300524
691320,31491.291726342
691350,31477.919628453306
691380,31460.654690156636
691410,31439.840096863958
691440,31415.883236564994
691470,31389.236218806727
691500,31360.384700419916
691530,31329.83917730631
691560,31298.12723378445
691590,31265.786128245694
691620,31233.355549847627
691650,31201.370537792794
691680,31170.354614923315
691710,31140.81320397545
691740,31113.227397516777
691770,31088.048147886984
691800,31065.683812097763
691830,31046.501740050448
691860,31030.85119881273
691890,31019.018580346074
691920,31011.236987261247
691950,31007.685180694072
691980,31008.486347674752
692010,31013.70725696833
692040,31023.3579942539
692070,31037.392337824418
692100,31055.70878544347
692130,31078.152224425743
692160,31104.516226551197
692190,31134.545943033663
692220,31167.941567067108
692250,31204.362329322626
692280,31243.43098163205
692310,31284.738722981987
692340,31327.850512236942
692370,31372.310709217047
692400,31417.64897861092
692430,31463.38638670429
692460,31509.041616091512
692490,31554.137220224224
692520,31598.20583553219
692550,31640.796268714905
692580,31681.479374286235
692610,31719.853640594898
692640,31755.550402599274
692670,31788.238605721497
692700,31817.629049504445
692730,31843.478047169494
692760,31865.590445934216
692790,31883.821963014852
692820,31898.080802219236
692850,31908.328529081966
692880,31914.580193920498
692910,31916.90370504575
692940,31915.418466696872
692970,31910.293309122022
693000,31901.743777103606
693030,31890.02874380658
693060,31875.44637820577
693090,31858.329887175645
693120,31839.04262269315
693150,31817.97288690422
693180,31795.528474883067
693210,31772.13103588654
693240,31748.210335289205
693270,31724.19849745325
693300,31700.52430866519
693330,31677.607655232307
693360,31655.854165932207
693390,31635.65012441527
693420,31617.35770951897
693450,31601.310615828945
693480,31587.810100085142
693510,31577.121492129758
693540,31569.471202109333
693570,31565.04425068464
693600,31563.98233983914
693630,31566.38247897345
693660,31572.29617326759
693690,31581.729175358258
693720,31594.64179797917
693750,31610.949777890317
693780,31630.5256777996
693810,31653.200807309087
693840,31678.767638934885
693870,31706.982691192094
693900,31737.569844935388
693930,31770.224054754854
693960,31804.615412576193
693990,31840.39351599603
694020,31877.192089794677
694050,31914.633803912184
694080,31952.335229480053
694110,31989.911869720094
694140,32026.983201340838
694170,32063.177659528155
694200,32098.13749980797
694230,32131.52347031728
694260,32163.01922892317
694290,32192.335442728407
694320,32219.213511683374
694350,32243.428861592995
694380,32264.793759865064
694410,32283.159611917574
694440,32298.418706704004
694470,32310.50538569723
694500,32319.396621853484
694530,32325.112001004385
694560,32327.71311122349
694590,32327.30235295643
694620,32324.021192294225
694650,32318.047889373553
694680,32309.594740335768
694710,32298.904879790975
694740,32286.248695660583
694770,32271.91991405644
694800,32256.23142224354
694830,32239.51085792031
694860,32222.09601475504
694890,32204.330255945395
694920,32186.557870139655
694950,32169.119513832517
694980,32152.347774482212
695010,32136.5629047153
695040,32122.06877899298
695070,32109.149119349608
695100,32098.064032525235
695130,32089.046895730557
695160,32082.301625826447
695190,32078.000358466143
695220,32076.281545135378
695250,32077.248500321588
695280,32080.968419942248
695310,32087.471848005967
695340,32096.75260940867
695370,32108.768202870877
695400,32123.44064462018
695430,32140.657750048227
695460,32160.274835719276
695490,32182.116818885926
695520,32205.980689458742
695550,32231.63832303062
695580,32258.839601048043
695610,32287.315799676046
695640,32316.78320588525
695670,32346.946916062123
695700,32377.50476860174
695730,32408.151361551605
695760,32438.582102025568
695790,32468.497235352243
695820,32497.605799862242
695850,32525.629453376376
695880,32552.306120359357
695910,32577.432452063324
695940,32600.760485188213
695970,32622.071633372645
696000,32641.17635118341
696030,32657.959552654942
696060,32672.339513804174
696090,32684.230282489563
696120,32693.588374189065
696150,32700.411442127974
696180,32704.742077095918
696210,32706.646265458552
696240,32706.22121373827
696270,32703.593754157875
696300,32698.918738876102
696330,32692.3768583745
696360,32684.17203018156
696390,32674.5284557874
696420,32663.68741802289
696450,32651.90387616883
696480,32639.442916097792
696510,32626.576106191893
696540,32613.577812958712
696570,32600.657090585373
696600,32588.145838453856
696630,32576.315574668835
696660,32565.448691725513
696690,32555.725353297024
696720,32547.367663047386
696750,32540.59547787793
696780,32535.59638738532
696810,32532.52411604309
696840,32531.482039818795
696870,32532.565902040795
696900,32535.843914732483
696930,32541.354466148507
696960,32549.105987186827
696990,32559.077270738908
697020,32571.218070507985
697050,32585.450016659124
697080,32601.66786823787
697110,32619.74109840636
697140,32639.515794092968
697170,32660.816845923502
697200,32683.479448770624
697230,32707.26590949124
697260,32731.944278416035
697290,32757.28446930465
697320,32783.02301478713
697350,32808.930454677444
697380,32834.77106026338
697410,32860.349458413555
697440,32885.397681105234
697470,32909.64882024135
697500,32932.91684356788
697530,32955.00650428604
697560,32975.73611441738
697590,32994.94384265137
697620,33012.4900417074
697650,33028.25887936089
697680,33042.15968306869
697710,33054.12797444049
697740,33064.12615159671
697770,33072.14379970914
697800,33078.19762413174
697830,33082.331009057045
697860,33084.61320997568
697890,33085.138195728614
697920,33084.02315928651
697950,33081.40672259475
697980,33077.44686362617
698010,33072.31859912841
698040,33066.21240980029
698070,33059.3420914179
698100,33051.90895835921
698130,33044.12660157129
698160,33036.21305890899
698190,33028.38694217033
698220,33020.86421935409
698250,33013.85526143073
698280,33007.56209287382
698310,33002.17578596863
698340,32997.874001963966
698370,32994.818795663574
698400,32993.154614687846
698430,32993.00642185641
698460,32994.47795338577
698490,32997.65039132576
698520,33002.58142947115
698550,33009.30469709867
698580,33017.829519889645
698610,33028.141006007296
698640,33040.20044800258
698670,33053.94603122604
698700,33069.29383710514
698730,33086.13912595921
698760,33104.3578822962
698790,33123.80860132618
698820,33144.33429357034
698850,33165.764680834465
698880,33187.91855506645
698910,33210.60626927973
698940,33233.63232786664
698970,33256.79804226426
699000,33279.90421635648
699030,33302.7538266653
699060,33325.154660680724
699090,33346.92187782444
699120,33367.880458692285
699150,33387.8675089102
699180,33406.73438597438
699210,33424.34862011666
699240,33440.59560647615
699270,33455.38007208902
699300,33468.62713558886
699330,33480.28325646311
699360,33490.3167922638
699390,33498.7182597032
699420,33505.50028912354
699450,33510.69727379642
699480,33514.36472138335
699510,33516.57831863748
699540,33517.43272618672
699570,33517.04012243819
699600,33515.52851987356
699630,33513.03988034917
699660,33509.72805790212
699690,33505.7566001406
699720,33501.29644036413
699750,33496.523513775785
699780,33491.61633218213
699810,33486.75355014384
699840,33482.11155612977
699870,33477.8621213715
699900,33474.17013629097
699930,33471.19146442013
699960,33469.070940301695
699990,33467.9405355079
700020,33467.91771563112
700050,33469.10400606857
700080,33471.58378366486
700110,33475.42330648653
700140,33480.66999208475
700170,33487.35195038849
700200,33495.47777510059
700230,33505.03659359083
700260,33515.99837244524
700290,33528.31447248764
700320,33541.91844539158
700350,33556.72705814827
700380,33572.64153305701
700410,33589.54898419341
700440,33607.32403188388
700470,33625.8305733276
700500,33644.923685120564
700530,33664.45163262629
700560,33684.25795969845
700590,33704.183629483596
700620,33724.06918931987
700650,33743.75692894198
700680,33763.093004222064
700710,33781.929496523895
700740,33800.126380367896
700770,33817.55337265669
700800,33834.0916377572
700830,33849.635326017466
700860,33864.09292430415
700890,33877.388400637166
700920,33889.4621282023
700950,33900.27157627291
700980,33909.79176016878
701010,33918.01544474022
701040,33924.95310313153
701070,33930.63265078981
701100,33935.09884251045
701130,33938.41258357114
701160,33940.64994433555
701190,33941.900983356594
701220,33942.26839061354
701250,33941.86596980628
701280,33940.81698240437
701310,33939.25237868102
701340,33937.308940725685
701370,33935.12736466778
701400,33932.85030970453
701430,33930.62043997576
701460,33928.57848765702
701490,33926.86136216133
701520,33925.600330718946
701550,33924.91929461822
701580,33924.93318214229
701610,33925.74647893879
701640,33927.39505074922
701670,33929.1519960873
701700,33930.74362474722
701730,33932.122493573595
701760,33933.311073351964
701790,33934.35612308147
701820,33935.313165334825
701850,33936.240837873316
701880,33937.198488455855
701910,33938.244841722495
701940,33939.43703576977
701970,33940.82980378761
702000,33942.474058950924
702030,33944.40631924815
702060,33946.64064676933
702090,33949.1803466797
702120,33952.021256480555
702150,33955.152950159216
702180,33958.55932877159
702210,33962.21905908696
702240,33966.106006134294
702270,33970.189701657095
702300,33974.435858391415
702330,33978.806927055986
702360,33983.26269114763
702390,33987.760890649115
702420,33992.25786691945
702450,33996.70922024427
702480,34001.07047044047
702510,34005.29771219487
702540,34009.34825598697
702570,34013.18124629845
702600,34016.758248483486
702630,34020.04379739846
702660,34023.005899211144
702690,34025.61648155598
702720,34027.85178507559
702750,34029.692692022734
702780,34031.12498771903
702810,34032.13955198192
702840,34032.73247909437
702870,34032.905128139035
702900,34032.66408247266
702930,34032.021062883156
702960,34030.9927567595
702990,34029.600581492545
703020,34027.8703857721
703050,34025.83209226211
703080,34023.5192872601
703110,34020.96876378701
703140,34018.220025264076
703170,34015.31475557243
703200,34012.29626464994
703230,34009.20891669112
703260,34006.09754919471
703290,34003.0068905638
703320,33999.980984751826
703350,33997.06263042264
703380,33994.29284180653
703410,33991.71033924004
703440,33989.35107498209
703470,33987.24780098031
703500,33985.42968390495
703530,33983.92197213972
703560,33982.74571873573
703590,33981.917563268835
703620,33981.449575566265
703650,33981.34916216997
703680,33981.61903664053
703710,33982.25725347036
703740,33983.25730420518
703770,33984.608274645725
703800,33986.29505971708
703830,33988.29863322569
703860,33990.596368145874
703890,33993.16240258715
703920,33995.96804667204
703950,33998.98222383895
703980,34002.17194095833
704010,34005.502780153896
704040,34008.939406105244
704070,34012.44608143893
704100,34015.98718292953
704130,34019.527712591625
704160,34023.03379516907
704190,34026.4731569643
704220,34029.81557834177
704250,34033.03331497948
704280,34036.10148136335
704310,34038.99839254808
704340,34041.70585913984
704370,34044.20943208719
704400,34046.49859446677
704430,34048.56689783055
704460,34050.41204185388
704490,34052.03589647373
704520,34053.444467302994
704550,34054.647804105785
704580,34055.65985567321
704610,34056.4982718761
704640,34057.18415768607
704670,34057.741783218415
704700,34058.198247198095
704730,34058.58311344225
704760,34058.928012403805
704790,34059.26621838986
704820,34059.632208705276
704850,34060.06121021025
704880,34060.58874002671
704910,34061.250146298305
704940,34062.08015536899
704970,34063.11243186458
705000,34064.37915677473
705030,34065.9106297915
705060,34067.73490040503
705090,34069.87743313779
705120,34072.36081068657
705150,34075.20447845669
705180,34078.42453419138
705210,34082.03356455497
705240,34086.04053071933
705270,34090.45070375819
705300,34095.26565071623
705330,34100.48327086563
705360,34106.09788120945
705390,34112.10034962736
705420,34118.478273731635
705450,34125.21620253569
705480,34132.295897411175
705510,34139.69662872654
705540,34147.39550414008
705570,34155.36782297372
705600,34163.58704700629
705630,34172.01921658591
705660,34180.61851287772
705690,34189.3346843233
705720,34198.11559877176
705750,34206.90855998624
705780,34215.66122711447
705810,34224.32239381272
705840,34232.77569531572
705870,34240.023508629485
705900,34245.62158724466
705930,34249.41346652339
705960,34251.34753158337
705990,34251.42415691182
706020,34249.677965250434
706050,34246.171378246385
706080,34240.99164375012
706110,34234.24879224939
706140,34226.073703321315
706170,34216.616035712694
706200,34206.041961620205
706230,34194.5317105556
706260,34182.2769505103
706290,34169.47804206253
706320,34156.34120485466
706350,34143.075636789945
706380,34129.89062689059
706410,34116.99270098912
706440,34104.582839811315
706470,34092.85380718286
706500,34081.987610572076
706530,34072.15315454712
706560,34063.504086394074
706590,34056.17687215598
706620,34050.28912452656
706650,34045.938200348704
706680,34043.20008214258
706710,34042.12855582782
706740,34042.754690008216
706770,34045.086621740484
706800,34049.10964778112
706830,34054.786617308484
706860,34062.05861837626
706890,34070.84594764218
706920,34081.04934790808
706950,34092.551496962056
706980,34105.21872622959
707010,34118.90294586741
707040,34133.4437509189
707070,34148.67067952465
707100,34164.405593039715
707130,34180.465146411014
707160,34196.66331508051
707190,34212.81394487361
707220,34228.733289168165
707250,34244.24250049403
707280,34259.170040859855
707310,34273.35397883652
707340,34286.644140931865
707370,34298.90408864778
707400,34310.01289335363
707430,34319.86668454359
707460,34328.37995168522
707490,34335.48658060534
707520,34341.14061301773
707550,34345.31671806868
707580,34348.01037264543
707610,34349.237748575106
707640,34349.03531213872
707670,34347.459142409236
707700,34344.583982205964
707730,34340.5020367934
707760,34335.321540554585
707790,34329.16511481751
707820,34322.16794151623
707850,34314.475782392634
707880,34306.242871675946
707910,34297.6297150126
707940,34288.80082564117
707970,34279.92243070855
708000,34271.16017917717
708030,34262.67688361281
708060,34254.63032573758
708090,34247.17115487971
708120,34240.44090631544
708150,34234.57016508359
708180,34229.676897069025
708210,34225.86496804752
708240,34223.2228675957
708270,34221.82264977079
708300,34221.71911440545
708330,34222.94921589288
708360,34225.53172064262
708390,34229.46711070749
708420,34234.73773210126
708450,34241.3081843031
708480,34249.125943544546
708510,34258.12221050571
708540,34268.212968929816
708570,34279.30024092217
708600,34291.27352039561
708630,34304.011365723694
708660,34317.38312889591
708690,34331.250797965884
708720,34345.47092805139
708750,34359.896633805445
708780,34374.37961721554
708810,34388.772202570544
708840,34402.92935051479
708870,34416.71062485545
708900,34429.98208374206
708930,34442.61807052565
708960,34454.50287913699
708990,34465.53227158198
709020,34475.61482683452
709050,34484.673102773864
709080,34492.644595947815
709110,34499.48248700512
709140,34505.1561615463
709170,34509.651501743596
709200,34512.97121416026
709230,34515.13860360672
709260,34516.20012611811
709290,34516.2198989053
