time,oveTZonSet_u,reaTZon_y
691200,288.15,288.1493159431588
691230,288.15,288.1493372578489
691260,288.15,288.1493624745003
691290,288.15,288.1493914561791
691320,288.15,288.1494241688279
691350,288.15,288.1494604127
691380,288.15,288.14949976918354
691410,288.15,288.14954173324446
691440,288.15,288.14958574851755
691470,288.15,288.149631228879
691500,288.15,288.14967757134366
691530,288.15,288.14972416606923
691560,288.15,288.14977040511764
691590,288.15,288.1498156906283
691620,288.15,288.1498594425902
691650,288.15,288.1499011062263
691680,288.15,288.14994015894405
691710,288.15,288.1499761167827
691740,288.15,288.15000854028716
691770,288.15,288.15003703974367
691800,288.15,288.15006128437966
691830,288.15,288.15008100071657
691860,288.15,288.1500959573164
691890,288.15,288.1501059981529
691920,288.15,288.15011103384876
691950,288.15,288.1501110410846
691980,288.15,288.1501060619023
692010,288.15,288.1500962024388
692040,288.15,288.15008163094524
692070,288.15,288.15006257506707
692100,288.15,288.1500392629853
692130,288.15,288.1500108495576
692160,288.15,288.1499797798142
692190,288.15,288.14994616494187
692220,288.15,288.14991008345106
692250,288.15,288.14987193472365
692280,288.15,288.14983220988194
692310,288.15,288.1497914322059
692340,288.15,288.14975013797306
692370,288.15,288.14970886669397
692400,288.15,288.1496681535167
692430,288.15,288.1496285222089
692460,288.15,288.1495904784287
692490,288.15,288.14955450329035
692520,288.15,288.14952104728843
692550,288.15,288.1494905246554
692580,288.15,288.14946330822374
692610,288.15,288.1494397248583
692640,288.15,288.1494200515164
692670,288.15,288.1494045119857
692700,288.15,288.14939327689603
692730,288.15,288.14938645308104
692760,288.15,288.1493840874499
692790,288.15,288.14938617231087
692820,288.15,288.14939264260323
692850,288.15,288.14940337676825
692880,288.15,288.1494181986394
692910,288.15,288.14943688014034
692940,288.15,288.1494591446865
692970,288.15,288.14948467121576
693000,288.15,288.149513121705
693030,288.15,288.1495447888549
693060,288.15,288.14957799114535
693090,288.15,288.14961253525024
693120,288.15,288.1496482024419
693150,288.15,288.1496845596299
693180,288.15,288.14972112571456
693210,288.15,288.1497574173992
693240,288.15,288.14979296112153
693270,288.15,288.14982729860907
693300,288.15,288.1498599920146
693330,288.15,288.14989062916266
693360,288.15,288.1499188286266
693390,288.15,288.1499442444216
693420,288.15,288.1499665702008
693450,288.15,288.149985542892
693480,288.15,288.1500009457324
693510,288.15,288.15001261066914
693540,288.15,288.150020420102
693570,288.15,288.1500243079554
693600,288.15,288.15002426429754
693630,288.15,288.15002033218707
693660,288.15,288.1500126020987
693690,288.15,288.15000121134506
693720,288.15,288.1499863432313
693750,288.15,288.1499682246296
693780,288.15,288.1499471228007
693810,288.15,288.1499233416401
693840,288.15,288.1498972174518
693870,288.15,288.14986911432646
693900,288.15,288.14983940441937
693930,288.15,288.1498081967406
693960,288.15,288.1497765154841
693990,288.15,288.149744614491
694020,288.15,288.14971280970144
694050,288.15,288.1496815019313
694080,288.15,288.14965110145107
694110,288.15,288.14962200517044
694140,288.15,288.1495945889474
694170,288.15,288.1495692030338
694200,288.15,288.1495461679979
694230,288.15,288.14952577087416
694260,288.15,288.14950826167507
694290,288.15,288.1494938503782
694320,288.15,288.14948270445393
694350,288.15,288.1494749469724
694380,288.15,288.14947065531294
694410,288.15,288.14946986049085
694440,288.15,288.1494725471068
694470,288.15,288.14947865391616
694500,288.15,288.149488061494
694530,288.15,288.1495006204152
694560,288.15,288.14951614420085
694590,288.15,288.14953440717454
694620,288.15,288.14955514946934
694650,288.15,288.1495780808238
694680,288.15,288.1496028846897
694710,288.15,288.14962922264505
694740,288.15,288.14965673906147
694770,288.15,288.1496850659599
694800,288.15,288.14971384090995
694830,288.15,288.1497426388608
694860,288.15,288.14977102976883
694890,288.15,288.149798737452
694920,288.15,288.1498254010427
694950,288.15,288.1498506854234
694980,288.15,288.1498742767818
695010,288.15,288.14989588535053
695040,288.15,288.14991524959515
695070,288.15,288.1499321398556
695100,288.15,288.14994636124317
695130,288.15,288.1499577559185
695160,288.15,288.14996620059526
695190,288.15,288.1499716237898
695220,288.15,288.1499739881144
695250,288.15,288.14997329281306
695280,288.15,288.14996957954753
695310,288.15,288.1499629301942
695340,288.15,288.1499534648599
695370,288.15,288.14994133980093
695400,288.15,288.1499267607311
695430,288.15,288.1499099465862
695460,288.15,288.149891139671
695490,288.15,288.14987061085145
695520,288.15,288.1498486518437
695550,288.15,288.14982557085676
695580,288.15,288.1498016883024
695610,288.15,288.14977733245297
695640,288.15,288.14975283505123
695670,288.15,288.149728526913
695700,288.15,288.1497047200967
695730,288.15,288.1496821108998
695760,288.15,288.1496605617537
695790,288.15,288.1496403221106
695820,288.15,288.1496217375117
695850,288.15,288.1496050603653
695880,288.15,288.14959050328315
695910,288.15,288.1495782176046
695940,288.15,288.14956839079616
695970,288.15,288.14956174161
696000,288.15,288.1495580638681
696030,288.15,288.14955671949355
696060,288.15,288.14955772363743
696090,288.15,288.14956118930365
696120,288.15,288.14956721205675
696150,288.15,288.1495757128097
696180,288.15,288.1495865527674
696210,288.15,288.14959958655743
696240,288.15,288.1496146254285
696270,288.15,288.14963145551974
696300,288.15,288.1496498415042
696330,288.15,288.1496695295423
696360,288.15,288.14969025062084
696390,288.15,288.1497117242103
696420,288.15,288.1497336620955
696450,288.15,288.14975577228785
696480,288.15,288.14977776295297
696510,288.15,288.1497993463007
696540,288.15,288.14982023596565
696570,288.15,288.14984019369916
696600,288.15,288.1498589594048
696630,288.15,288.14987582702867
696660,288.15,288.149891269215
696690,288.15,288.14990503442846
696720,288.15,288.14991678791466
696750,288.15,288.14992614154136
696780,288.15,288.14993292446184
696810,288.15,288.1499377871475
696840,288.15,288.14994044160164
696870,288.15,288.1499407185573
696900,288.15,288.1499386232053
696930,288.15,288.1499342165039
696960,288.15,288.14992758611015
696990,288.15,288.1499188438288
697020,288.15,288.14990812647886
697050,288.15,288.14989559533035
697080,288.15,288.14988143422744
697110,288.15,288.1498658470345
697140,288.15,288.149849054745
697170,288.15,288.1498312923837
697200,288.15,288.1498127939797
697230,288.15,288.14979381386564
697260,288.15,288.14977462092867
697290,288.15,288.1497555031425
697320,288.15,288.14973670496425
697350,288.15,288.1497184587228
697380,288.15,288.1497009617142
697410,288.15,288.14968446911985
697440,288.15,288.14966920077757
697470,288.15,288.1496553701708
697500,288.15,288.1496431303206
697530,288.15,288.14963326895196
697560,288.15,288.14962496560355
697590,288.15,288.14961837769977
697620,288.15,288.1496137448496
697650,288.15,288.1496111472986
697680,288.15,288.14961060806775
697710,288.15,288.149612115577
697740,288.15,288.1496156292153
697770,288.15,288.14962108131397
697800,288.15,288.14962837855296
697830,288.15,288.14963740348816
697860,288.15,288.1496480163418
697890,288.15,288.1496600570679
697920,288.15,288.1496733476707
697950,288.15,288.14968769474604
697980,288.15,288.1497028922068
698010,288.15,288.14971872415737
698040,288.15,288.14973496787354
698070,288.15,288.1497513968491
698100,288.15,288.14976777882003
698130,288.15,288.14978388925977
698160,288.15,288.1497995131547
698190,288.15,288.14981444023607
698220,288.15,288.14982847076755
698250,288.15,288.1498414184069
698280,288.15,288.14985311266247
698310,288.15,288.1498634010528
698340,288.15,288.1498721510135
698370,288.15,288.1498792514937
698400,288.15,288.1498846195228
698430,288.15,288.14988759837405
698460,288.15,288.1498890604279
698490,288.15,288.14988889134486
698520,288.15,288.1498869143506
698550,288.15,288.1498831331465
698580,288.15,288.1498776075232
698610,288.15,288.14987042350293
698640,288.15,288.1498616880251
698670,288.15,288.1498515276446
698700,288.15,288.1498400870901
698730,288.15,288.14982752732874
698760,288.15,288.14981402330193
698790,288.15,288.14979976145565
698820,288.15,288.1497849371288
698850,288.15,288.14976975184425
698880,288.15,288.14975441053866
698910,288.15,288.14973911876996
698940,288.15,288.149724079938
698970,288.15,288.14970949255616
699000,288.15,288.1496955585916
699030,288.15,288.1496824539717
699060,288.15,288.14967033979
699090,288.15,288.14965936803674
699120,288.15,288.14964967506813
699150,288.15,288.14964137934624
699180,288.15,288.14963457979906
699210,288.15,288.1496293545779
699240,288.15,288.1496257601446
699270,288.15,288.1496238306726
699300,288.15,288.1496235775381
699330,288.15,288.14962580163234
699360,288.15,288.1496295982747
699390,288.15,288.149634882764
699420,288.15,288.1496415524201
699450,288.15,288.14964948835274
699480,288.15,288.1496585573984
699510,288.15,288.149668614209
699540,288.15,288.1496795034587
699570,288.15,288.1496910621371
699600,288.15,288.1497031218958
699630,288.15,288.1497155114153
