"Time","FCU1 Power","FCU2 Power","FCU5 Power","FCU4 Power","FCU3 Power"
2023-02-28 00:05:02,,,273,33.3,15.4
2023-02-28 00:10:00,,,321,77.1,15.4
2023-02-28 00:10:02,2806,13.3,,,
2023-02-28 00:15:02,2708,214,,,
2023-02-28 00:15:02,,,13.4,75.6,15.4
2023-02-28 00:20:03,,,828,74.5,15.4
2023-02-28 00:20:03,2563,350,,,
2023-02-28 00:25:02,2759,409,,,
2023-02-28 00:25:02,,,585,74.1,15.4
2023-02-28 00:30:05,2409,478,499,16.6,15.5
2023-02-28 00:35:02,2893,488,,,
2023-02-28 00:35:02,,,487,16.5,71.9
2023-02-28 00:40:00,,,441,16.5,71.4
2023-02-28 00:40:02,2435,458,,,
2023-02-28 00:45:06,1997,478,,,
2023-02-28 00:45:08,,,376,16.6,70.5
2023-02-28 00:50:11,1011,160,,,
2023-02-28 00:50:11,,,382,16.5,578
2023-02-28 00:55:00,,,360,16.6,492
2023-02-28 00:55:03,902,960,,,
2023-02-28 01:00:02,,,380,30.3,359
2023-02-28 01:00:02,1202,497,,,
2023-02-28 01:05:02,1706,397,,,
2023-02-28 01:05:02,,,393,499,1562
2023-02-28 01:10:00,,,358,1134,1495
2023-02-28 01:10:02,204,423,,,
2023-02-28 01:15:03,768,342,349,1135,1204
2023-02-28 01:20:02,299,344,,,
2023-02-28 01:20:02,,,348,1147,1155
2023-02-28 01:25:02,708,320,,,
2023-02-28 01:25:03,,,347,481,1231
2023-02-28 01:30:03,1211,351,,,
2023-02-28 01:30:03,,,346,1916,1355
2023-02-28 01:35:02,1222,458,,,
2023-02-28 01:35:02,,,346,1132,1621
2023-02-28 01:40:01,,,291,1223,1339
2023-02-28 01:40:05,15,475,,,
2023-02-28 01:45:03,,,1671,1261,1339
2023-02-28 01:45:03,548,500,,,
2023-02-28 01:50:02,1131,479,,,
2023-02-28 01:50:02,,,862,1250,1314
2023-02-28 01:55:02,,,603,16.4,1317
